"theta","design","n1","n2","rho","replicates","delta_bias","safe_bias","delta_var","safe_var","relbias_var","cover_delta","cover_safe","boot_keep","boot_total"
1,"indep",6,14,0,838,0.0096466251750208,0.160684362962662,504.99290124903,0.317058798412761,159174.211527039,0.88782816229117,0.930787589498807,10559033,8380000
2,"indep",6,14,0,999,0.0018822284858766,-0.0162066825251931,0.136112722524318,0.148374013839729,-8.26377274436697,0.925925925925926,0.927927927927928,13866550,9990000
3,"indep",6,14,0,1000,0.00742743517641964,0.00796630585925495,0.0625809752117682,0.0753189794397283,-16.9120775702402,0.944,0.926,14058476,1e+07
4,"indep",6,14,0,1000,0.0142167506180595,0.0238743893453655,0.0450998461002645,0.053834951177554,-16.2257137532828,0.947,0.932,14069485,1e+07
5,"indep",6,14,0,1000,0.0199754338461684,0.0328527637986475,0.038576004221918,0.0467442502977851,-17.4743332577402,0.947,0.927,14068877,1e+07
0.05,"indep",12,28,0,338,NA,NA,67.2851527868446,0.390444966076183,17132.9415494926,NA,NA,4016100,3380000
0.1,"indep",12,28,0,339,NA,NA,9393.6692176662,0.386798259908876,2428470.70243264,NA,NA,4066756,3390000
0.5,"indep",12,28,0,681,0.317379301356704,0.543331835457726,153.216203961353,0.337822651816124,45254.0350647499,0.81791483113069,0.913362701908957,8590646,6810000
1,"indep",12,28,0,970,-0.0812385471855977,-0.056661334607551,11.3332370281725,0.232494647462745,4774.62277168704,0.937113402061856,0.960824742268041,13462979,9700000
2,"indep",12,28,0,1000,0.00548264908600127,-0.000860317151069545,0.0496555485057217,0.0575583186523716,-13.7300225782816,0.95,0.946,14849144,1e+07
3,"indep",12,28,0,1000,0.00376222006280424,0.00925210779015828,0.0280926059409441,0.0313191937532131,-10.3022697126038,0.942,0.935,14855066,1e+07
4,"indep",12,28,0,1000,0.0143046139278333,0.0233902811079079,0.0210820203875449,0.0237665665313959,-11.295473161025,0.934,0.924,14855867,1e+07
5,"indep",12,28,0,1000,0.0058143273185316,0.0164276592788262,0.0182588213663037,0.0209314308279137,-12.7684030947656,0.958,0.95,14855657,1e+07
0.05,"indep",60,140,0,366,NA,NA,726.077352504173,0.381898311387999,190023.216273271,NA,NA,4347588,3660000
0.1,"indep",60,140,0,395,NA,NA,833.699464142017,0.370106419225864,225159.390497963,NA,NA,4761665,3950000
0.5,"indep",60,140,0,988,-0.0607529860805567,-0.0791991067704574,142.217792373439,0.184113754401039,77144.5235480118,0.946356275303644,0.975708502024291,13837649,9880000
1,"indep",60,140,0,1000,-0.0117167889171129,-0.0241562208046837,0.0302986290691705,0.0330366964617524,-8.28795759210332,0.952,0.945,10309518,1e+07
2,"indep",60,140,0,1000,-0.000547143587664001,-0.00110752711330231,0.00873959990793517,0.0089172757866111,-1.99249056469362,0.959,0.953,1e+07,1e+07
3,"indep",60,140,0,1000,0.00349106621165685,0.00470894970477387,0.00520058905062325,0.00530573683719048,-1.98177538377315,0.957,0.948,1e+07,1e+07
4,"indep",60,140,0,1000,0.00297796123618066,0.00482431688546958,0.00403076936937485,0.00412845466917769,-2.36614684259824,0.942,0.938,10009998,1e+07
5,"indep",60,140,0,1000,-0.00109439348423956,0.00100683436144067,0.00348712014758054,0.00358065079050231,-2.6121129480109,0.944,0.939,1e+07,1e+07
0.05,"paired",5,5,0.8,77,NA,NA,113.860827508187,0.460645300501498,24617.6791740257,NA,NA,883036,770000
0.1,"paired",5,5,0.8,95,NA,NA,75196.8049181619,0.444988817850797,16898483.0433553,NA,NA,1082896,950000
0.5,"paired",5,5,0.8,380,NA,NA,298.991229541546,0.420724790312218,70965.7504445284,NA,NA,4437701,3800000
1,"paired",5,5,0.8,883,0.132393982280404,0.234114499228258,2233.4128151599,0.348777524444488,640254.569497316,0.890147225368063,0.898074745186863,10744180,8830000
2,"paired",5,5,0.8,1000,0.0724053186992444,0.0540261665760355,0.167866189757356,0.156178326277961,7.4836654726298,0.924,0.883,13129011,1e+07
3,"paired",5,5,0.8,1000,0.0796350815472161,0.0790900498487261,0.127542808886611,0.111066936843971,14.8341824406173,0.921,0.856,13175039,1e+07
4,"paired",5,5,0.8,1000,0.09844549796891,0.102919660341654,0.11722526911113,0.101440829080611,15.5602435169135,0.915,0.839,13171745,1e+07
5,"paired",5,5,0.8,1000,0.110363806816746,0.116833867276109,0.112637448646886,0.0972871660890823,15.7783222339395,0.908,0.822,13170783,1e+07
0.05,"paired",10,10,0.8,55,NA,NA,633.824393638763,0.421436873154972,150296.046006561,NA,NA,632977,550000
0.1,"paired",10,10,0.8,59,NA,NA,271.252083587096,0.415321221225965,65211.3950658244,NA,NA,694362,590000
0.5,"paired",10,10,0.8,598,0.600347410652167,0.887446847191729,166.538704349458,0.36129701876873,45994.679916543,0.739130434782609,0.849498327759197,7416695,5980000
1,"paired",10,10,0.8,989,0.00190950144889912,0.0164613164381428,0.347220097926342,0.196882037436582,76.3594599320345,0.9211324570273,0.917087967644085,13960730,9890000
2,"paired",10,10,0.8,1000,0.0401141777603664,0.0667560534965393,0.0629048507908257,0.0748073359707879,-15.9108528936388,0.934,0.905,14563659,1e+07
3,"paired",10,10,0.8,1000,0.03832279853727,0.069683389164715,0.0528122328211107,0.0640579027299088,-17.5554762637389,0.931,0.89,14563892,1e+07
4,"paired",10,10,0.8,1000,0.0462775323992723,0.078823019613838,0.0496249111245447,0.0607305717510815,-18.2867710715058,0.935,0.886,14562263,1e+07
5,"paired",10,10,0.8,1000,0.0483055677892619,0.0814099442902565,0.0481525726115556,0.0591213503724104,-18.5529892192271,0.917,0.871,14562242,1e+07
0.05,"paired",20,20,0.8,63,NA,NA,61151.3517793084,0.373763887065434,16360857.7852562,NA,NA,729650,630000
0.1,"paired",20,20,0.8,65,NA,NA,109.54355761963,0.367139642076234,29737.0279494047,NA,NA,758483,650000
0.5,"paired",20,20,0.8,901,0.0182672466109655,0.104153741266128,14.8450196592666,0.257857659774988,5657.05979501274,0.926748057713652,0.960044395116537,12136682,9010000
1,"paired",20,20,0.8,1000,-0.00214050845334401,0.00408638521778204,0.055957906711203,0.0683707654235569,-18.1552139067864,0.954,0.948,14961836,1e+07
2,"paired",20,20,0.8,1000,0.0230501852605756,0.0441696798510366,0.0281138798830041,0.034522593555735,-18.5638244773944,0.941,0.92,14971431,1e+07
3,"paired",20,20,0.8,1000,0.0226421740778743,0.0454534505532797,0.0244215312713909,0.030739813152691,-20.5540672934994,0.942,0.918,14971187,1e+07
