"theta","design","n1","n2","rho","true_absd","true_vd","true_fn_mean","true_fn_var","d_mean","absd_mean","fn_mean_est","absd_bias","fn_bias","absd_vs_fn_mean","fn_vs_fn_mean","mean_var_absd","mean_var_fn","Var_MC_absd","Var_MC_fn","relbias_var_absd","relbias_var_fn","relbias_var_absd_vsFN","relbias_var_fn_vsFN","rmse_absd","rmse_fn","cover_absd","cover_fn","fail_prop","mcse_bias_absd","mcse_bias_fn","mcse_varbar_absd","mcse_varbar_fn","mcse_cover_absd","mcse_cover_fn"
0.2,"indep",5,5,0,0.2,0.4025,0.531147597668703,0.160382229490765,-0.222561180118983,0.584409526090096,0.784986506247828,0.0532619284213927,0.253838908579125,0.0532619284213927,0.253838908579125,0.43645470441576,0.262570543278781,0.241743193899241,0.140957026368225,80.5447745501678,86.277016509176,172.134079817671,63.7154840112135,0.494547883916683,0.453199523727245,0.98834,0.98783,0,0.00155480929344805,0.00118725324328142,0.000215501851663191,0.000416612673113762,0.000339470829380081,0.000346725988353916
0.3,"indep",5,5,0,0.3,0.405625,0.563518044275269,0.178072413776176,-0.330079967377304,0.620513835053956,0.812368392856062,0.0569957907786872,0.248850348580793,0.0569957907786872,0.248850348580793,0.44081507184139,0.27223616640627,0.268006410032978,0.161679265978487,64.479301740264,68.3803824557781,147.548209457902,52.8794722513571,0.520818826594591,0.472867999736299,0.98668,0.98615,0,0.00163709013201161,0.00127153161965594,0.000234313280440297,0.000440370461552762,0.000362526931413378,0.000369569716021213
0.4,"indep",5,5,0,0.4,0.41,0.607462686603984,0.20098908438387,-0.441519233807262,0.667267667749836,0.848003507244613,0.0598049811458516,0.240540820640629,0.0598049811458516,0.240540820640629,0.446730968942455,0.284722241657414,0.302452387178847,0.190596188027038,47.70290726067,49.3850661992377,122.266283918803,41.6605496414034,0.553196166314294,0.498451771447975,0.98441,0.98382,0,0.00173911583046917,0.00138056578266679,0.000267231386854351,0.000474425564148177,0.000391751858961767,0.000398976285009522
0.5,"indep",5,5,0,0.5,0.415625,0.661779225529033,0.227673256658193,-0.554517101268696,0.725335930975745,0.893045324203431,0.0635567054467118,0.231266098674397,0.0635567054467118,0.231266098674397,0.454211217961171,0.300393223982985,0.34127068732116,0.223669766972976,33.0941199569614,34.3021133559276,99.5013488312687,31.9404959511637,0.587628053637266,0.526451838890685,0.98308,0.9825,0,0.00184735131288328,0.00149555931668716,0.000300799033580115,0.000509793239202957,0.000407844499779022,0.000414653469779284
0.6,"indep",5,5,0,0.6,0.4225,0.725130142485467,0.256686276459006,-0.663748629575992,0.792515873473522,0.945982119032301,0.0673857309880552,0.220851976546834,0.0673857309880552,0.220851976546834,0.463288851281296,0.318543767340695,0.384544056233802,0.262487159784095,20.4774443320526,21.35594274505,80.4883602163613,24.098479955771,0.623763615109149,0.557906919169445,0.98136,0.9809,0,0.00196097949054497,0.00162014554835081,0.000337029448568058,0.000546989917123141,0.000427697912082816,0.000432841656960141
0.7,"indep",5,5,0,0.7,0.430625,0.796145847802982,0.286776789026071,-0.777547773365718,0.872710669376483,1.0103674334867,0.0765648215735013,0.214221585683714,0.0765648215735013,0.214221585683714,0.474684406586511,0.340381425770695,0.43333092624989,0.308414219691692,9.54316385735501,10.3650234126555,65.5239980190156,18.6921113548523,0.662713184449508,0.595232747185791,0.97952,0.97901,0,0.00208166021783069,0.00175617259884014,0.000386504278822657,0.000592283692960109,0.000447890272276593,0.000453314679885838
0.8,"indep",5,5,0,0.8,0.44,0.873510137338598,0.316980039966704,-0.888532668875765,0.956484300662918,1.07860494499133,0.0829741633243206,0.205094807652728,0.0829741633243206,0.205094807652728,0.487047963915625,0.363415069362866,0.477909984335204,0.353015219995212,1.91207128537649,2.946005944955,53.6525656210987,14.6491966500604,0.696268566728912,0.628550371863004,0.97876,0.97838,0,0.00218611524018109,0.00187886992629935,0.000436165999693716,0.000635037174705347,0.000455948049672329,0.000459919292919964
0.9,"indep",5,5,0,0.9,0.450625,0.956021135885896,0.346648587739442,-0.993342221047673,1.04289279551179,1.14986961221754,0.0868716596258983,0.193848476331641,0.0868716596258983,0.193848476331641,0.500180277990284,0.386982425527467,0.515264217556312,0.393886114067198,-2.92741841022165,-1.75271183552153,44.290297344654,11.6353676935622,0.72305307561776,0.656855697228971,0.97771,0.97741,0,0.00226994320976608,0.00198465642887427,0.000460155766329142,0.000657385631847211,0.000466831403185347,0.000469890326565679
1,"indep",5,5,0,1,0.4625,1.04262674006646,0.375429480898383,-1.11273891886834,1.14585225395727,1.23738261594251,0.103225513890808,0.194755875876051,0.103225513890808,0.194755875876051,0.517453678718988,0.415920096567553,0.5662871344762,0.449681200230506,-8.62344432429703,-7.50778632632335,37.8297936221599,10.7851454745317,0.759563676279263,0.698288303358111,0.97622,0.97595,0,0.0023796788322717,0.00212056879216522,0.000533820333815003,0.000715349620110071,0.000481814399950853,0.000484474947752719
1.2,"indep",5,5,0,1.2,0.49,1.22472492495735,0.430048858188208,-1.32843416801606,1.34354263251171,1.40906504440456,0.118817707554358,0.184340119447213,0.118817707554358,0.184340119447213,0.552726916479272,0.471564039099947,0.638530243594271,0.539334635031181,-13.4376293019442,-12.5655931455832,28.5265397071172,9.6535963580142,0.8078623062876,0.757172715648579,0.97686,0.97664,0,0.0025269155973128,0.00232235792898334,0.000617083986209853,0.000777455164658158,0.000475442324577861,0.000477643281120964
1.4,"indep",5,5,0,1.4,0.5225,1.41451607042961,0.481644286496367,-1.55017291363468,1.55680891209769,1.60184806145899,0.142292841668072,0.187331991029373,0.142292841668072,0.187331991029373,0.596367444568662,0.533629401267932,0.718232306634877,0.63870633146272,-16.9673322879595,-16.4515247491203,23.8190634226822,10.7932588902324,0.859344155214768,0.820849084340377,0.95577,0.93463,0,0.00267998564666842,0.00252726399781012,0.000736230506327264,0.000867351699553793,0.00065018233673332,0.000781644184395944
1.6,"indep",5,5,0,1.6,0.56,1.60870897272589,0.532055441071216,-1.77148640429479,1.77401640076465,1.803893155527,0.165307428038765,0.195184182801108,0.165307428038765,0.195184182801108,0.64679755794213,0.599298143272034,0.801634753239635,0.742237247559497,-19.3151799708987,-19.257872702758,21.5658196521584,12.63828860869,0.910468715913342,0.883361019290959,0.95128,0.93133,0,0.00283131551268953,0.00272440314116596,0.000883480263587819,0.00098447036703208,0.00068078162137355,0.000799715143660541
1.8,"indep",5,5,0,1.8,0.6025,1.80537638560757,0.58311610629056,-1.99633408750538,1.99734368063773,2.01681937316298,0.191967295030159,0.21144298755541,0.191967295030159,0.21144298755541,0.704717119969786,0.669381100659168,0.886101001943135,0.843257987441571,-20.4698879219853,-20.6196548828363,20.8536537350649,14.7937937981812,0.960699528101434,0.942315070370868,0.95075,0.93526,0,0.00297674486972454,0.00290389047217964,0.00103920994645357,0.00111510014482335,0.000684283840960752,0.000778130659979415
2,"indep",5,5,0,2,0.65,2.00343022642427,0.636267327849603,-2.21004234988969,2.21037292276396,2.22265514773997,0.206942696339694,0.2192249213157,0.206942696339694,0.2192249213157,0.764332121609108,0.73842035154521,0.943574923806866,0.915038960424258,-18.9961387988778,-19.3017583423069,20.1275137279682,16.0550478115629,0.993172073522998,0.981371171453757,0.95385,0.94211,0,0.00307176646867379,0.00302496109136011,0.00115904193113879,0.00121529805316575,0.000663477034267201,0.000738503540275874
2.5,"indep",5,5,0,2.5,0.790625,2.50130166587712,0.784114976280366,-2.76713494653394,2.76713630541836,2.77125168939043,0.26583463954124,0.269950023513314,0.26583463954124,0.269950023513314,0.952763289095147,0.940631081366691,1.18718116456965,1.17652067250821,-19.7457542682191,-20.049761695953,21.5081101517541,19.9608615854778,1.12153348070311,1.11775754190984,0.95355,0.94815,0,0.00344554954190134,0.00343004471181967,0.00160223280122084,0.00162744273674597,0.00066552533760932,0.000701153175133651
3,"indep",5,5,0,3,0.9625,3.00061028246529,0.958837932763567,-3.32034608341868,3.32034608341868,3.32186537646071,0.319735800953385,0.321255093995418,0.319735800953385,0.321255093995418,1.18155993981716,1.17545177688141,1.48027572615812,1.47629238360577,-20.1797395621853,-20.3781181875074,23.2283266486618,22.5912885500391,1.25797134538597,1.25677462422661,0.95373,0.95158,0,0.00384743515365512,0.00384225504568055,0.00211596947057933,0.00212734737138981,0.0006642972760745,0.000678789390017257
4,"indep",5,5,0,4,1.4,4.00022108861848,1.39823124217195,-4.4313940314985,4.4313940314985,4.43175608496107,0.43117294288002,0.431534996342591,0.43117294288002,0.431534996342591,1.76856584745519,1.76622373218871,2.25982309511338,2.25895626752262,-21.7387479896317,-21.8123981600709,26.4859340939898,26.318428520102,1.56387678656416,1.56369950151183,0.95406,0.95363,0,0.00475375966484779,0.00475284784894553,0.00354703721433766,0.00354974388747568,0.000662038642376712,0.000664979872627736
5,"indep",5,5,0,5,1.9625,5.00012417848107,1.96125819976898,-5.53742099437656,5.53742099437656,5.53758203789501,0.537296815895485,0.537457859413934,0.537296815895485,0.537457859413934,2.51699223931221,2.51552443891771,3.20887664879964,3.20856088858138,-21.5615770006692,-21.5996041131725,28.3355878185082,28.260748085796,1.87016909085906,1.87013094558064,0.95466,0.95451,0,0.00566469473917143,0.00566441602337026,0.00516512039616358,0.00516581218619872,0.000657907929728773,0.000658943547657916
0.2,"indep",10,10,0,0.2,0.201111111111111,0.392820144959112,0.086803444825413,-0.209948926218415,0.410438991768893,0.547213797534681,0.0176188468097807,0.154393652575568,0.0176188468097807,0.154393652575568,0.20753165002831,0.124186403438358,0.102680261857503,0.0550422578193538,102.114453424668,125.620111453153,139.082274264249,43.0662155034661,0.320920019347175,0.280854245743946,0.98913,0.98877,0,0.00101331269535866,0.000741904696166251,3.64314294021301e-05,0.000153257015947379,0.000327900032021957,0.00033322495554805
0.3,"indep",10,10,0,0.3,0.2025,0.436007682441963,0.102397300851588,-0.312957663595974,0.4539431718361,0.579672707285607,0.0179354893941371,0.143665024843644,0.0179354893941371,0.143665024843644,0.209083356524734,0.130671894258588,0.120937641010226,0.069392543510192,72.8852611793996,88.308264330151,104.188347530541,27.6126354619248,0.348221356917728,0.300052476990413,0.98541,0.98503,0,0.00109971651351713,0.000833021869521995,4.26113390243535e-05,0.000163755592289657,0.000379171885824885,0.000384003894511501
0.4,"indep",10,10,0,0.4,0.204444444444444,0.493404101007201,0.12099683755372,-0.41640248288595,0.511103909871396,0.623319611151273,0.0176998088641944,0.129915510144072,0.0176998088641944,0.129915510144072,0.211209728885467,0.139144623444213,0.14232445643555,0.0870888785610775,48.4001654916642,59.7731257345655,74.5580571820269,14.9985621586481,0.377672234119499,0.322437664438084,0.9832,0.98286,0,0.001192998140969,0.000933214222786373,4.97691673245472e-05,0.000174427011983684,0.000406420471925321,0.000410441474512506
0.5,"indep",10,10,0,0.5,0.206944444444444,0.562540924376124,0.140492152846501,-0.521984107578035,0.584542744192267,0.680558226049138,0.0220018198161434,0.118017301673014,0.0220018198161434,0.118017301673014,0.21411840285807,0.149762152406592,0.166573948842192,0.109460348902347,28.5425508288338,36.8186324165653,52.4059518769085,6.59823297762392,0.408725290602289,0.35126533816054,0.97957,0.97935,0,0.00129063530419012,0.0010462329993952,5.86914412735715e-05,0.000184019119796234,0.000447354614372088,0.000449706320836165
0.6,"indep",10,10,0,0.6,0.21,0.640908102923431,0.159236803607089,-0.625651703529199,0.664814647886596,0.744874420933743,0.0239065449631644,0.103966318010312,0.0239065449631644,0.103966318010312,0.217510061114327,0.161149894966427,0.188385567926863,0.131885782160102,15.460044794286,22.1889822595134,36.5953449122386,1.20141281161283,0.434689782446354,0.37774787700648,0.9774,0.9773,0,0.00137253622147783,0.00114841535238824,6.78301951010716e-05,0.00019041422714165,0.000469991914824074,0.00047100647553935
0.7,"indep",10,10,0,0.7,0.213611111111111,0.726203611340467,0.176239425987175,-0.733401434029827,0.756664760975953,0.820508015048065,0.0304611496354863,0.0943044037075977,0.0304611496354863,0.0943044037075977,0.221653641388482,0.17386283162571,0.206991599398538,0.154090037890375,7.08339953531838,12.831974088683,25.7684766884177,-1.34850323538738,0.45597961700021,0.403710066196821,0.97615,0.97605,0,0.00143872026258942,0.0012413300845882,7.73469890301703e-05,0.000193330910222202,0.000482505725354633,0.000483491442530269
0.8,"indep",10,10,0,0.8,0.217777777777778,0.816483283304902,0.191132825861426,-0.835152235885638,0.848735621019544,0.899120050561717,0.0322523377146424,0.0826367672568158,0.0322523377146424,0.0826367672568158,0.22622236059362,0.186161977028275,0.223655063533515,0.175650256116112,1.14788237723953,5.98446090805245,18.3587170723015,-2.60073004767644,0.474017974628533,0.427173658968112,0.976,0.97592,0,0.00149551015888731,0.00132533111378294,8.70786460818637e-05,0.000193996438416039,0.000483983470792134,0.000484769570002078
0.9,"indep",10,10,0,0.9,0.2225,0.910213997161049,0.204010479372107,-0.940117957972731,0.947761108315729,0.986185775675114,0.03754711115468,0.0759717785140653,0.03754711115468,0.0759717785140653,0.231575921018108,0.198852019238241,0.238484423060267,0.196896643254267,-2.89683575703078,0.993097673813192,13.511777302245,-2.52852703926876,0.489787529212511,0.450184834727275,0.96669,0.94889,0,0.00154429408812009,0.00140319864329419,9.76093796670874e-05,0.00019303442637186,0.000567454349705771,0.000696403388130758
1,"indep",10,10,0,1,0.227777777777778,1.00625490971484,0.215228834452558,-1.0414224145488,1.04562905581105,1.07430769332588,0.0393741460962125,0.0680527836110445,0.0393741460962125,0.0680527836110445,0.237282637632771,0.21097442011129,0.248837320796656,0.214348295845014,-4.64346872361918,-1.57401565541893,10.2466768620048,-1.97669348165604,0.50038500757342,0.467950140206484,0.9554,0.93272,0,0.00157745783080454,0.00146406385053731,0.0001075234260902,0.000190242458538922,0.000652769790967688,0.000792170446305592
1.2,"indep",10,10,0,1.2,0.24,1.20229381520934,0.234489581909368,-1.25660271389069,1.25756373216909,1.27210100982903,0.0552699169597539,0.0698071946196877,0.0552699169597539,0.0698071946196877,0.251531198239185,0.235804899915274,0.273659332736938,0.252610981836365,-8.08601492828462,-6.65294984363641,7.26753666028734,0.560928121069049,0.526033610964497,0.507426349480612,0.9496,0.93234,0,0.00165426519257626,0.00158937403349987,0.000133326379667389,0.000188191016232551,0.000691808065867983,0.000794242559927382
