ES.ID,Study,Year,Category,Sub_category,Response,same_trt,experiment,Ctrl-shared_YN,Shared-Control,LaterDiet,TrtFood,TrtResponse,TrtSE,TrtSD,CtrlFood,CtrlResponse,CtrlSE,CtrlSD,nTrt,nCtrl,Species,Sp_group,age_treated,sex,Trt_magnitude,Trt_duration,Recovery,LoH
22,Adler et al. 2013,2013,Reproduction,egg_offspring_quality,Ma thorax length of offspring - same sex,ww,c,N,NA,sugar,Poor,330.9,,42.1,Rich,286.7,,99.5,5,6,Telostylinus.angusticollis,Insect,youngest,Male,0.333333333,1,0.522727273,higher
23,Adler et al. 2013,2013,Reproduction,egg_offspring_quality,Ma thorax length of offspring - same sex,vvvvvvvvv,d,N,NA,sugar+soy,Poor,328.6,,23.9,Rich,315.3,,19.8,3,6,Telostylinus.angusticollis,Insect,youngest,Male,0.333333333,1,0.522727273,higher
24,Adler et al. 2013,2013,Reproduction,egg_offspring_quality,Ma thorax length of offspring - mixed sex,xxxxxxxxx,b,N,NA,sugar+soy,Poor,320.4,,24.7,Rich,388.2,,117.6,6,6,Telostylinus.angusticollis,Insect,youngest,Male,0.333333333,1,0.522727273,higher
25,Adler et al. 2013,2013,Reproduction,egg_offspring_quality,Ma thorax length of offspring - mixed sex,wwwwwwwww,e,N,NA,sugar,Poor,311.6,,22.2,Rich,430.7,,141.3,5,3,Telostylinus.angusticollis,Insect,youngest,Male,0.333333333,1,0.522727273,higher
26,Agarwala et al 2001,2001,Reproduction,mating,Preoviposition period (days),j,g,N,NA,excess aphids,low (10 aphids),9.57,1.45,3.836339401,high (40 aphids),5.8,0.45,1.423024947,7,10,Cheilomenes.sexmaculata,Insect,youngest,Female,0.25,1,NA,lower
27,Agarwala et al 2001,2001,Reproduction,egg_offspring_quantity,No. eggs laid,j,g,N,NA,excess aphids,low (10 aphids),23.6,1.9,5.026927491,high (40 aphids),32.4,1.9,6.008327554,7,10,Cheilomenes.sexmaculata,Insect,youngest,Female,0.25,1,NA,higher
28,Alverez & Nicieza 2002,2002,Condition,body_composition,Mean lipid content (mg) - 22 degC,tt,j,N,NA,flies ad lib,LPC,0.38,0.138,0.365113681,HPC,0.81,0.069,0.169014792,7,6,Discoglossus.galganoi,Amphibian,juvenile,Mixed,NA,NA,NA,higher
29,Alverez & Nicieza 2002,2002,Condition,body_composition,Mean lipid content (mg) - 17 degC,ss,i,N,NA,flies ad lib,LPC,1.034,0.207,0.686541332,HPC,1.448,0.345,1.144235553,11,11,Discoglossus.galganoi,Amphibian,juvenile,Mixed,NA,NA,NA,higher
30,Alverez & Nicieza 2002,2002,Condition,body_composition,Mean lipid content (mg) - 12 degC,h,h,N,NA,flies ad lib,LPC,2.776,0.621,1.643011564,HPC,3.931,1.224,3.870627856,7,10,Discoglossus.galganoi,Amphibian,juvenile,Mixed,NA,NA,NA,higher
31,Alverez & Nicieza 2002,2002,Mobility,distance,LS adjusted maximum jump (mm) - 12 degC,h,h,N,NA,flies ad lib,LPC,166.3,0.87,2.301803641,HPC,160.2,0.87,2.751181564,7,10,Discoglossus.galganoi,Amphibian,juvenile,Mixed,NA,NA,NA,higher
