design_group,mean_abs_bias_delta,mean_abs_bias_safe,mean_abs_var_delta,mean_abs_var_safe,mean_cover_delta,mean_cover_safe,mean_rmse_delta,mean_rmse_safe
indep_equal,0.1029439447293704,0.07951037806677179,93.2683075325558,37.027918777300606,0.9093956310334032,0.8877992218160072,0.41349968589380265,0.4840022335753143
indep_unequal,0.16639031990494074,0.1355107600450205,101.92869176089084,39.478732902375356,0.8911631811601419,0.8617827633125206,0.4809870327821343,0.5484388242134344
paired,0.04470971825822466,0.024896057807533317,32.35865648713926,17.43126749344623,0.930824247356744,0.9264577465849178,0.29795981782950315,0.34183048043219816
