design,n1,n2,facet_lab,mcse_bias_naive_max,mcse_bias_fn_max,mcse_var_naive_max,mcse_var_fn_max
indep,5,5,indep: n1=n2=5,0.005615841039828692,0.005615564652520738,0.0050537210805529,0.00505443220245596
indep,10,10,indep: n1=n2=10,0.0032846175983203057,0.0032846174492722063,0.00104679561235747,0.00104679649862041
indep,20,20,indep: n1=n2=20,0.002169603176145644,0.0021696031761455855,3.0361320079111e-4,3.0361320079149e-4
indep,100,100,indep: n1=n2=100,9.186627047209244e-4,9.186627047209244e-4,2.34548030422201e-5,2.34548030422201e-5
indep,3,7,"indep: n1=3, n2=7",0.00572487611995413,0.005724401703295117,0.0051996618230561,0.00520121473662468
indep,6,14,"indep: n1=6, n2=14",0.003358413464117293,0.0033584130779044843,0.00107133195430338,0.00107133418590619
indep,12,28,"indep: n1=12, n2=28",0.0022170900585287883,0.0022170900585284344,3.1118146097862e-4,3.1118146098082e-4
indep,40,160,"indep: n1=40, n2=160",9.792658099194106e-4,9.792658099194106e-4,2.50202421571207e-5,2.50202421571207e-5
paired,5,5,paired: n=5,0.007098596181118419,0.007102305572627726,0.0149565125235412,0.0148330505486882
paired,10,10,paired: n=10,0.003953630212723952,0.003953635499848248,0.00274450923957319,0.00274437469249329
paired,20,20,paired: n=20,0.002521599333770563,0.002521599333836958,7.4534147108991e-4,7.4534146945911e-4
paired,100,100,paired: n=100,0.001053690224065755,0.001053690224065755,5.56149177704185e-5,5.56149177704184e-5
