"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","delta_fail_prop","safe_fail_prop","boot_accept_prop"
1.6,"indep",5,5,0.0384805205680643,0.152145371637637,0.141843762102765,0.113664851069572,0.103363241534701,0.651680403196359,0.294925137962376,71.3341542408996,-22.4608430308455,0.529218249268552,0.62212265496127,0.852631578947368,0.789473684210526,1143989,950000,0.0533108364887461,0.0632752042218262,0.154426663567949,0.0126483031391204,0.0363681424397328,0.0418273375915277,0.05,0.05,1.143989
1.8,"indep",5,5,0.175328435806585,0.255957144430544,0.276555647243867,0.0806287086239595,0.101227211437282,0.494004541151689,0.267186381244155,70.8571723288701,-7.59050619710333,0.434682981187112,0.544453536987298,0.959183673469388,0.948979591836735,1203614,980000,0.0433694635171623,0.0543170062794419,0.20275982157601,0.010447677826285,0.0199873311965045,0.0222273333556515,0.02,0.02,1.203614
2,"indep",5,5,0.29389333245106,0.362247426091683,0.376839581219665,0.0683540936406231,0.0829462487686058,0.546154142178094,0.239349834713879,75.0807231464228,-23.2715841363739,0.467355878391298,0.561876167357066,0.93,0.9,1229286,1e+06,0.0464659357089448,0.0558519640792146,0.217504465525547,0.0107945964996715,0.0255147016443461,0.03,0,0,1.229286
2.5,"indep",5,5,0.53664724034191,0.606993790630956,0.640782628990797,0.0703465502890466,0.104135388648887,0.182666335221194,0.176694623752855,21.0854868495365,17.1269709599328,0.388022209115465,0.400241099977651,0.93,0.93,1255522,1e+06,0.0383514578534851,0.0388403568810734,0.0190779747911833,0.00937016203835449,0.0255147016443461,0.0255147016443461,0,0,1.255522
3,"indep",5,5,0.729307511349758,0.748163354787821,0.778377847674859,0.0188558434380625,0.0490703363251008,0.138265032719341,0.15761557558664,8.45563818728907,23.6342804995749,0.374015697517439,0.358634045636748,0.93,0.93,1262518,1e+06,0.0375421916396478,0.0357050884502423,0.00702059416438772,0.00779809251221188,0.0255147016443461,0.0255147016443461,0,0,1.262518
4,"indep",5,5,1.02706186684777,1.06434570212742,1.08172288148236,0.0372838352796481,0.0546610146345858,0.0969492470078488,0.104522526835018,-2.90231879177583,4.68255610982724,0.328554506673708,0.319118291902338,0.93,0.93,1272268,1e+06,0.0328076702479068,0.0315985963289101,0.00233899095101743,0.00344908132535892,0.0255147016443461,0.0255147016443461,0,0,1.272268
5,"indep",5,5,1.25479963118919,1.28014543903529,1.28791717170002,0.0253458078461037,0.0331175405108302,0.0830330204552258,0.0900087799169513,27.95611608821,38.7059488968249,0.260010335581639,0.255616213242448,0.96,0.97,1272687,1e+06,0.026007567786332,0.0254738679694004,0.00118519876279436,0.00227537761570043,0.0195959179422654,0.017058722109232,0,0,1.272687
0.2,"indep",10,10,NA,-0.974440639663193,-1.28706161713575,NA,NA,4.84831002117046,0.397749772032713,548.821610964242,-46.7714220575725,NA,NA,NA,NA,349979,290000,NA,NA,1.30217782732633,0.0133108278195737,NA,NA,0.71,0.71,0.349979
0.3,"indep",10,10,NA,-1.25744082484326,-1.81699933564837,NA,NA,6.84701751704782,0.4046545180249,200.544405478226,-82.2380107483195,NA,NA,NA,NA,495243,410000,NA,NA,1.22608561344738,0.0127317627252157,NA,NA,0.59,0.59,0.495243
0.4,"indep",10,10,NA,-0.925459102206523,-1.24617021993821,NA,NA,4.26391001745871,0.382211470409803,235.487619934031,-69.9273164784808,NA,NA,NA,NA,569402,470000,NA,NA,0.976938448342843,0.0122229340287659,NA,NA,0.53,0.53,0.569402
