"Category","age","sex","magnitude","duration","Recovery","Sub.cat","same.trt","same.ctrl","Study","Species","Species.no.phylo","ES.ID","Sp.group","m1i","m2i","sd1i","sd2i","n1i","n2i","nCtrl"
"Condition","juvenile","Mixed",NA,NA,NA,"body_composition","ss",NA,"Alverez & Nicieza 2002","Discoglossus.galganoi","Discoglossus.galganoi","29","Amphibian",1.034,1.448,0.686541332,1.144235553,11,11,11
"Condition","juvenile","Mixed",NA,NA,NA,"body_composition","h",NA,"Alverez & Nicieza 2002","Discoglossus.galganoi","Discoglossus.galganoi","30","Amphibian",2.776,3.931,1.643011564,3.870627856,7,10,10
"Mobility","juvenile","Mixed",NA,NA,NA,"distance","h",NA,"Alverez & Nicieza 2002","Discoglossus.galganoi","Discoglossus.galganoi","31","Amphibian",166.3,160.2,2.301803641,2.751181564,7,10,10
"Mobility","juvenile","Mixed",NA,NA,NA,"distance","ss",NA,"Alverez & Nicieza 2002","Discoglossus.galganoi","Discoglossus.galganoi","32","Amphibian",193.3,173.4,1.917009129,2.387969849,11,11,11
"Mobility","juvenile","Mixed",NA,NA,NA,"distance","tt",NA,"Alverez & Nicieza 2002","Discoglossus.galganoi","Discoglossus.galganoi","33","Amphibian",185.7,176.7,1.529244258,2.121258117,7,6,6
"Condition","juvenile","Female",0.5,0.285714286,0.428571429,"size_growth","i",NA,"Auer et al 2010","Poecilia.reticulata","Poecilia.reticulata","34","Fish",9.137,9.766,1.857404641,1.519694706,22,22,22
"Reproduction","juvenile","Female",0.5,0.285714286,0.605633803,"mating","i",NA,"Auer et al 2010","Poecilia.reticulata","Poecilia.reticulata","35","Fish",22.194,22.006,1.599431774,1.547837201,22,22,22
"Condition","juvenile","Female",0.5,0.285714286,0.8,"body_composition","i",NA,"Auer et al 2010","Poecilia.reticulata","Poecilia.reticulata","36","Fish",39.02,34.257,11.40058198,10.18729586,22,22,22
"Reproduction","juvenile","Female",0.5,0.285714286,0.428571429,"mating","i",NA,"Auer et al 2010","Poecilia.reticulata","Poecilia.reticulata","37","Fish",43.3,49.4,7.03562364,6.097540488,22,22,22
"Condition","juvenile","Female",0.5,0.285714286,0.428571429,"size_growth","i",NA,"Auer et al 2010","Poecilia.reticulata","Poecilia.reticulata","38","Fish",161.3,242.5,28.61153613,30.95674401,22,22,22
"Condition","juvenile","Mixed",0.25,0.261538462,NA,"stress_tolerance","p",NA,"Bae et al. 2003","Phodopus.sungorus","Phodopus.sungorus","39","Mammal",23.9,23.7,1.802775638,2.711088342,13,15,13
"Condition","juvenile","Mixed",0.25,0.261538462,0.360465116,"stress_tolerance","p",NA,"Bae et al. 2003","Phodopus.sungorus","Phodopus.sungorus","40","Mammal",91,86,13.26649916,12.64911064,11,10,11
"Condition","juvenile","Mixed",0.25,0.261538462,NA,"stress_tolerance","p",NA,"Bae et al. 2003","Phodopus.sungorus","Phodopus.sungorus","41","Mammal",116.8,139.4,31.6227766,76.28237018,10,11,11
"Longevity","juvenile","Female",0.5,NA,NA,"longevity","q",NA,"Boggs & Freeman 2005","Speyeria.mormonia","Speyeria.mormonia","42","Insect",10.5,15.3,4.3,5.3,14,15,15
"Reproduction","juvenile","Male",0.5,NA,NA,"egg_offspring_quantity","q",NA,"Boggs & Freeman 2005","Speyeria.mormonia","Speyeria.mormonia","43","Insect",104.5,212.3,79.9,94.4,2,2,2
"Reproduction","juvenile","Female",0.5,NA,NA,"egg_offspring_quantity","q",NA,"Boggs & Freeman 2005","Speyeria.mormonia","Speyeria.mormonia","44","Insect",236.6,352.3,69.9,62.4,17,19,19
"Learning","youngest","Mixed",NA,1,0.980169972,"learning","b",NA,"Brust_et_al_2014","Taeniopygia.guttata","Taeniopygia.guttata","45","Bird",11.4,6,11.59655121,7.009279564,8,17,8
"Learning","youngest","Mixed",NA,1,0.980169972,"learning","b",NA,"Brust_et_al_2014","Taeniopygia.guttata","Taeniopygia.guttata","46","Bird",18.758,17.92284615,2.869539336,6.954802428,4,13,4
"Reproduction","youngest","Female",NA,1,0.403508772,"egg_offspring_quality","nn",NA,"Cahenzli & Erhardt 2012a","Coenonympha.pamphilus","Coenonympha.pamphilus","47","Insect",0.163,0.159,0.018027756,0.016,13,16,16
"Reproduction","youngest","Female",NA,1,0.413793103,"egg_offspring_quality","c",NA,"Cahenzli & Erhardt 2012a","Coenonympha.pamphilus","Coenonympha.pamphilus","48","Insect",0.185,0.178,0.019899749,0.018027756,11,13,13
"Reproduction","youngest","Female",NA,1,0.403508772,"egg_offspring_quality","nn",NA,"Cahenzli & Erhardt 2012a","Coenonympha.pamphilus","Coenonympha.pamphilus","49","Insect",0.87,0.82,0.072111026,0.2,13,16,16
"Reproduction","youngest","Female",NA,1,0.413793103,"egg_offspring_quality","c",NA,"Cahenzli & Erhardt 2012a","Coenonympha.pamphilus","Coenonympha.pamphilus","50","Insect",0.85,0.88,0.132664992,0.108166538,11,13,13
"Reproduction","youngest","Female",NA,1,0.413793103,"egg_offspring_quality","c",NA,"Cahenzli & Erhardt 2012a","Coenonympha.pamphilus","Coenonympha.pamphilus","51","Insect",7.62,7.82,0.288444102,0.397994975,13,11,13
"Reproduction","youngest","Female",NA,1,0.403508772,"egg_offspring_quality","nn",NA,"Cahenzli & Erhardt 2012a","Coenonympha.pamphilus","Coenonympha.pamphilus","52","Insect",7.77,7.74,0.24,0.216333077,16,13,16
"Longevity","youngest","Female",NA,1,0.403508772,"longevity","nn",NA,"Cahenzli & Erhardt 2012a","Coenonympha.pamphilus","Coenonympha.pamphilus","53","Insect",22.77,24.07,39.80528608,45.08,13,16,16
"Longevity","youngest","Female",NA,1,0.413793103,"longevity","c",NA,"Cahenzli & Erhardt 2012a","Coenonympha.pamphilus","Coenonympha.pamphilus","54","Insect",24.18,26.46,34.29390033,38.07462147,11,13,13
"Reproduction","youngest","Female",NA,1,0.413793103,"egg_offspring_quantity","c",NA,"Cahenzli & Erhardt 2012a","Coenonympha.pamphilus","Coenonympha.pamphilus","55","Insect",98.64,121.15,26.73199581,26.5729129,11,13,13
"Reproduction","youngest","Female",NA,1,0.403508772,"egg_offspring_quantity","nn",NA,"Cahenzli & Erhardt 2012a","Coenonympha.pamphilus","Coenonympha.pamphilus","56","Insect",84.15,132.75,16.98214651,22.92,13,16,16
"Reproduction","youngest","Male",NA,1,0.137899333,"egg_offspring_quality","ll",NA,"Cahenzli & Erhardt 2013","Coenonympha.pamphilus","Coenonympha.pamphilus","57","Insect",0.182,0.18,0.075046652,0.100254676,22,19,19
"Reproduction","youngest","Male",NA,1,0.137899333,"egg_offspring_quality","r",NA,"Cahenzli & Erhardt 2013","Coenonympha.pamphilus","Coenonympha.pamphilus","58","Insect",0.193,0.187,0.078339007,0.08605812,17,14,14
"Reproduction","youngest","Male",NA,1,0.137899333,"egg_offspring_quality","r",NA,"Cahenzli & Erhardt 2013","Coenonympha.pamphilus","Coenonympha.pamphilus","59","Insect",0.9,0.86,0.742159013,0.636081756,17,14,14
"Reproduction","youngest","Male",NA,1,0.137899333,"egg_offspring_quality","ll",NA,"Cahenzli & Erhardt 2013","Coenonympha.pamphilus","Coenonympha.pamphilus","60","Insect",0.92,0.9,0.281424946,0.566656863,22,19,19
"Reproduction","youngest","Male",NA,1,0.137899333,"egg_offspring_quality","r",NA,"Cahenzli & Erhardt 2013","Coenonympha.pamphilus","Coenonympha.pamphilus","61","Insect",6.26,6.06,1.234746938,1.195700631,14,17,14
"Reproduction","youngest","Male",NA,1,0.137899333,"egg_offspring_quality","ll",NA,"Cahenzli & Erhardt 2013","Coenonympha.pamphilus","Coenonympha.pamphilus","62","Insect",6.27,5.99,1.787148567,1.500933043,19,22,19
"Longevity","youngest","Male",NA,1,0.33374778,"longevity","r",NA,"Cahenzli & Erhardt 2013","Coenonympha.pamphilus","Coenonympha.pamphilus","63","Insect",18.79,18.33,55.78561911,36.55599267,17,14,14
"Longevity","youngest","Male",NA,1,0.333036984,"longevity","ll",NA,"Cahenzli & Erhardt 2013","Coenonympha.pamphilus","Coenonympha.pamphilus","64","Insect",18.73,23.23,49.06174885,65.6014291,22,19,19
"Reproduction","youngest","Male",NA,1,0.137899333,"egg_offspring_quantity","ll",NA,"Cahenzli & Erhardt 2013","Coenonympha.pamphilus","Coenonympha.pamphilus","65","Insect",74.05,73.42,163.3202768,106.0520113,22,19,19
"Reproduction","youngest","Male",NA,1,0.137899333,"egg_offspring_quantity","r",NA,"Cahenzli & Erhardt 2013","Coenonympha.pamphilus","Coenonympha.pamphilus","66","Insect",57.53,74.36,151.4004386,87.70444915,17,14,14
"Condition","juvenile","Mixed",0.8,0.363636364,0.603174603,"development_rate","t",NA,"Capellan & Nicieza 2007","Rana.temporaria","Rana.temporaria","67","Amphibian",55.056,58.034,4.013604739,2.230368355,7,7,7
"Condition","juvenile","Mixed",0.8,0.363636364,0.603174603,"size_growth","t",NA,"Capellan & Nicieza 2007","Rana.temporaria","Rana.temporaria","68","Amphibian",442,391.3,34.39476704,76.72678802,7,7,7
