"","theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","facet_label"
"11",1.4,"indep",5,5,-0.12423067964925,-0.0703906049197238,-0.159330715960702,0.053840074729526,-0.0351000363114519,1.65655697554972,0.333601762306909,107.322227312584,-58.2489093839223,0.624645680103986,0.89456597485114,0.890174581555813,0.818068234261208,9036461618,8884100000,0.00208790246311258,0.0029989797732667,0.0136138035914542,0.000396180790389898,0.00104901647442833,0.00129432193939844,"indep n1=5 n2=5"
"12",1.6,"indep",5,5,0.0384805205680643,0.0519651809682842,0.0017226478554371,0.01348466040022,-0.0367578727126272,1.21905820420989,0.309410540926659,87.0857452867946,-52.5155554927976,0.58825236922564,0.808052087934681,0.903849032396023,0.842050678926548,9515602206,9.353e+09,0.00192298724641956,0.00263946802016904,0.0110813792862956,0.000392759615209135,0.000963938465827466,0.00119248391511144,"indep n1=5 n2=5"
"13",1.8,"indep",5,5,0.175328435806585,0.176678278511559,0.158427055048994,0.00134984270497451,-0.0169013807575909,0.850013997944042,0.28290891550036,67.4944626587962,-44.2530630110459,0.5490338732378,0.712578575451598,0.910333481639368,0.863161815679742,9833604540,9664700000,0.00176606175162116,0.00229149346495939,0.0086228923243596,0.000386464842732825,0.000919012085671059,0.00110549191972479,"indep n1=5 n2=5"
"14",2,"indep",5,5,0.29389333245106,0.296206792244268,0.299971343159091,0.00231345979320885,0.00607801070803182,0.594215265356825,0.255846131305049,47.6148525858049,-36.4427486820546,0.514825787365847,0.634489723621673,0.914274091024663,0.879237223493516,10005866703,9832500000,0.00164182225546656,0.00202336808821313,0.00666386144675602,0.000373640788370836,0.000892816644786101,0.00103917239223696,"indep n1=5 n2=5"
"15",2.5,"indep",5,5,0.53664724034191,0.556351825997513,0.586491043802481,0.0197045856556028,0.0498438034605713,0.243875392121387,0.195871333011576,21.2607316064901,-2.6080453008557,0.425844178921056,0.451219384581559,0.921118292499624,0.909334134976702,10156009322,9979500000,0.00134658282626259,0.00141961149410094,0.00271530911379278,0.000312873613296618,0.000853279798408161,0.000908927535848082,"indep n1=5 n2=5"
"16",3,"indep",5,5,0.729307511349758,0.763520092083184,0.793008584269484,0.0342125807334253,0.0637010729197254,0.142096283908894,0.151314866425674,9.24739200373736,16.3348827545519,0.37223525708918,0.366230636688025,0.925411049325919,0.92220066407969,10177792904,9998800000,0.00117220496833168,0.00114054356985187,0.000849351715338425,0.000235959509366993,0.000830865351053944,0.000847084469671438,"indep n1=5 n2=5"
"17",4,"indep",5,5,1.02706186684777,1.08043983988848,1.09628846977317,0.0533779730407118,0.0692266029254012,0.0959310019561566,0.104480205077543,0.261625951720523,9.19676670979901,0.325163767232862,0.31697325158685,0.92811,0.9284,10184440735,1e+10,0.00101431403592821,0.000978164998738528,7.85438499081162e-05,0.000115251329017373,0.000816834303270865,0.000815312455442697,"indep n1=5 n2=5"
"18",5,"indep",5,5,1.25479963118919,1.3102677310184,1.31863378940489,0.0554680998292185,0.0638341582156994,0.0825782527742204,0.0877414870435155,-5.32681687374251,0.59265716547261,0.306563009232139,0.30215637017936,0.9295,0.9314,10186337553,1e+10,0.00095344154294627,0.000933940814668177,4.0175180136068e-05,7.17141464433381e-05,0.000809504478060498,0.00079933747566344,"indep n1=5 n2=5"
"19",0.2,"indep",10,10,NA,-1.13873771338895,-1.58432220808041,NA,NA,5.90300116647217,0.406595368508729,296.279829868864,-72.7044703339605,NA,NA,NA,NA,3836078512,3.771e+09,NA,NA,0.0380702821760325,0.000336892761588418,NA,NA,"indep n1=10 n2=10"
"20",0.3,"indep",10,10,NA,-1.06584020711954,-1.46406434122934,NA,NA,5.28322839463396,0.39945249655988,280.505766186919,-71.2308522544338,NA,NA,NA,NA,4358178615,4.283e+09,NA,NA,0.034221067173601,0.000339962104496856,NA,NA,"indep n1=10 n2=10"
"21",0.4,"indep",10,10,NA,-0.980320720193389,-1.3287287817772,NA,NA,4.58983899907226,0.389126006278452,244.730822934803,-70.7737616947308,NA,NA,NA,NA,5034896603,4.946e+09,NA,NA,0.0302166941982078,0.00034855539242195,NA,NA,"indep n1=10 n2=10"
"22",0.5,"indep",10,10,-1.84443972705697,-0.897466394526806,-1.1996976356698,0.946973332530162,0.644742091387164,4.03502534594296,0.378295413873668,224.081939696014,-69.6163713991158,1.16276666095838,1.28869462761646,0.682785231956503,0.570481452249408,5806186209,5701500000,0.00282580844698429,0.00467305781829822,0.0267804164180296,0.000349536298154047,0.00194905544699637,0.00207308524910005,"indep n1=10 n2=10"
"23",0.6,"indep",10,10,-1.26286432215413,-0.810779056645356,-1.06654183315226,0.452085265508772,0.196322489001864,3.44243424368311,0.366484254439191,203.421938790638,-67.6974619857352,0.798436393729464,1.08307987202777,0.799217832189452,0.7220367278798,6589226106,6469200000,0.0025875096618859,0.00418778182913501,0.023410733558938,0.000351392605535478,0.00157496121451944,0.00176135973266131,"indep n1=10 n2=10"
