family,method,mean_abs_bias,mean_abs_relbias_var,mean_coverage,mean_rmse
|d|,Naive |d|,0.08297140888716226,13.432519444119402,0.9605309259259259,0.489389247540961
|d|,Folded-normal |d|,0.11244045654201061,15.068507903478993,0.9568424074074074,0.4741909272018225
lnM,Delta lnM,0.10533319295011288,77.9632070452951,0.9102396804206763,0.3985639436286863
lnM,SAFE lnM,0.08057105451838653,31.98649274529289,0.8916388471362162,0.4593542087436648
