method,mean_abs_bias,mean_abs_relbias_var,mean_coverage,mean_rmse
Delta lnM,0.10533319295011288,77.9632070452951,0.9102396804206763,0.3985639436286863
SAFE lnM,0.08057105451838653,31.98649274529289,0.8916388471362162,0.4593542087436648
