"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_tried","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","delta_fail_prop","safe_fail_prop","boot_accept_prop"
0.2,"indep",5,5,NA,-0.800734009134731,-0.983483343938338,NA,NA,5.8324307630957,0.477670805031713,135.308156363946,-80.7284747909745,NA,NA,NA,NA,1e+06,2820000,NA,NA,1.1862336115217,0.00676733307425915,NA,NA,0.57,0,0.354609929078014
0.3,"indep",5,5,NA,-0.756421523345449,-0.922724613803028,NA,NA,6.51136785246719,0.487356193412779,331.845838683279,-67.6776448742507,NA,NA,NA,NA,1e+06,3005000,NA,NA,1.31516886172494,0.00648100883766803,NA,NA,0.64,0,0.332778702163062
0.4,"indep",5,5,NA,-0.846546493245578,-0.925472578958222,NA,NA,6.54657165329315,0.490220681685198,389.445473709474,-63.3493213735931,NA,NA,NA,NA,1e+06,3035000,NA,NA,1.39704112959334,0.00455146429328276,NA,NA,0.7,0,0.329489291598023
0.5,"indep",5,5,NA,-0.560242613659821,-0.819968453680177,NA,NA,4.04629703366252,0.464271392333906,168.147574627246,-69.2327956184507,NA,NA,NA,NA,1e+06,2640000,NA,NA,0.925786371261734,0.00793169501759647,NA,NA,0.48,0,0.378787878787879
0.6,"indep",5,5,NA,-0.705707196126139,-0.939736743106736,NA,NA,5.48446647115403,0.470534140328691,189.075184437846,-75.199092908084,NA,NA,NA,NA,1e+06,2565000,NA,NA,0.971124766875915,0.00785983033063262,NA,NA,0.46,0,0.389863547758285
0.7,"indep",5,5,-1.55054639460591,-0.462143118671773,-0.727195761418532,1.08840327593414,0.823350633187377,3.20010811165764,0.450154005496433,157.935629224356,-63.7166143754305,1.28224254244825,1.17778758978664,0.586206896551724,0.5,1e+06,2490000,0.0897876878403675,0.0846428826940657,0.710054353733876,0.0089049667393571,0.0646700339637914,0.0656532164298613,0.42,0,0.401606425702811
0.8,"indep",5,5,-1.06013176810005,-0.403733176390897,-0.667333575348625,0.656398591709148,0.39279819275142,3.55503423630847,0.442640992702437,194.981149532758,-63.2715917264217,0.940192400287592,0.906804360708466,0.767857142857143,0.642857142857143,1e+06,2415000,0.0907646946140295,0.082143243226628,0.876146560808695,0.00939397548824496,0.0564188024351951,0.0640301040714854,0.44,0,0.41407867494824
0.9,"indep",5,5,-0.792372649921864,-0.404535541449952,-0.679353107704544,0.387837108471912,0.11301954221732,3.66567137147448,0.434683307764333,148.712078508862,-70.5071791736508,0.837304095510685,0.941299652328063,0.766666666666667,0.666666666666667,1e+06,2375000,0.096608639615326,0.0939197819412832,0.826690738518243,0.0101040874922082,0.0546029438902472,0.0608580619450185,0.4,0,0.421052631578947
1,"indep",5,5,-0.601986402162968,-0.322843719336976,-0.592506717770064,0.279142682825992,0.0094796843929037,3.10301168925532,0.420778527263338,126.737424968548,-69.2536640825085,0.766277307155349,0.963833334429383,0.794117647058823,0.735294117647059,1e+06,2255000,0.0871831383538312,0.0968642094487538,0.729205072975948,0.010395202841175,0.0490340232552539,0.0535005055227205,0.32,0,0.443458980044346
1.2,"indep",5,5,-0.326963233703332,-0.142666969371048,-0.33225116161304,0.184296264332284,-0.00528792790970811,1.90280660931555,0.367904406240172,54.9037826871212,-70.0496183296518,0.732030889200854,1.04068947478092,0.827586206896552,0.770114942528736,1e+06,1905000,0.0763943342061863,0.104591877387957,0.486005210246141,0.0121772438928589,0.0404979461734278,0.0451100719979828,0.13,0,0.5249343832021
1.4,"indep",5,5,-0.12423067964925,0.0172298172739831,-0.0928261094597482,0.141460496923233,0.0314045701895016,0.933835346167497,0.337185782153338,71.4547592552686,-38.091755317826,0.555636719318097,0.727656166790135,0.866666666666667,0.844444444444444,1e+06,1765000,0.0569566256875964,0.073064054506982,0.251315511018206,0.0119963113074568,0.0358322566591047,0.038203842839193,0.1,0,0.56657223796034
1.6,"indep",5,5,0.0384805205680643,-0.18177074016183,-0.329326003148952,-0.220251260729894,-0.367806523717016,2.28259941161255,0.35503970844478,174.14507994892,-57.358970320651,0.658545605104314,0.965892882583021,0.979166666666667,0.802083333333333,1e+06,1760000,0.0636744761017523,0.0897621673323423,0.459158927160008,0.0115932178936082,0.0145771316178357,0.0406644884648323,0.04,0,0.568181818181818
1.8,"indep",5,5,0.175328435806585,0.0737988800005749,0.0315881627625765,-0.10152955580601,-0.143740273044008,0.862863020026807,0.316919001180742,109.13084094035,-23.1888078540611,0.519246874818985,0.65860652700902,0.938144329896907,0.876288659793814,1e+06,1655000,0.0519724552755189,0.06459675159329,0.245379522616887,0.0120817654297483,0.0244590012902277,0.0334304701606269,0.03,0,0.604229607250755
2,"indep",5,5,0.29389333245106,0.191561743445751,0.145292342212646,-0.102331589005309,-0.148600990238414,0.90592261976687,0.28748675626337,102.639237052815,-35.6941799654044,0.545212921335213,0.687796543936386,0.9375,0.885416666666667,1e+06,1630000,0.0549435476296521,0.0674934962486659,0.298719254613471,0.0127408550492587,0.0247052942200655,0.0325086515817257,0.04,0,0.613496932515337
2.5,"indep",5,5,0.53664724034191,0.578797674394234,0.598810714135361,0.0421504340523239,0.0621634737934513,0.313286687596062,0.190209590376357,10.8350708471613,-32.7073435933698,0.480461517069411,0.532633029679686,0.91,0.87,1e+06,1525000,0.0481020180905357,0.0531658019148533,0.0933134940587434,0.0103666864725085,0.0286181760425084,0.0336303434416005,0,0,0.655737704918033
