"theta","design","n1","n2","rho","true_lnM","true_var_delta","true_var_safe","replicates","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_total"
1.5,"indep",100,100,0,0.0544272024560408,0.0114669317489763,0.0116962684831627,1000,0.0545377150926747,0.0524229666867859,0.000110512636633919,-0.00200423576925494,0.0118834365681439,0.0121743198312226,3.63222550099183,4.08721250498059,0.107030262217142,0.108113778842931,0.949,0.951,1e+07,1e+07
2,"indep",100,100,0,0.3440673193682,0.00807573762610713,0.0081660295462886,1000,0.350066760489598,0.350079781711137,0.0059994411213975,0.00601246234293662,0.0076367624549524,0.0077893209046315,-5.4357284929072,-4.61311876869595,0.0900203042777024,0.0905207888839218,0.941,0.944,1e+07,1e+07
3,"indep",100,100,0,0.750926350877081,0.00465949624626676,0.00468015069884962,1000,0.753715792111658,0.755170256216369,0.00278944123457636,0.00424390533928776,0.00477971236063373,0.00488116072265094,2.58002384835667,4.29494767873033,0.0682833635113389,0.0685089868607002,0.949,0.95,1e+07,1e+07
4,"indep",100,100,0,1.03909537988909,0.00414228801585874,0.00415488034471476,1000,1.04015375493422,1.04210208686072,0.00105837504513295,0.00300670697162819,0.00379332873933339,0.00388959792394035,-8.42431224457025,-6.38483900292975,0.0643371268054382,0.0644962460239608,0.94,0.943,1e+07,1e+07
5,"indep",100,100,0,1.26246416206874,0.00338704407428633,0.00338934728553459,1000,1.26369740410557,1.26583881226342,0.00123324203682329,0.00337465019467365,0.00333440874560065,0.00342685990674125,-1.55401959736173,1.10678009794878,0.0581822818058336,0.0582867583777436,0.952,0.952,1e+07,1e+07
0.2,"indep",3,7,0,NA,0.414759830341683,0.0692695070092461,371,-0.625776134000122,-0.2581643667605,NA,NA,461.210727840957,0.437538970915573,111099.468728929,531.64730024305,NA,NA,NA,NA,4224950,3710000
0.3,"indep",3,7,0,NA,0.529422001554625,0.0786929145514877,393,-0.667457298692308,-0.244372899035083,NA,NA,169.048576669743,0.433031499581344,31830.7803932099,450.28016442067,NA,NA,NA,NA,4464202,3930000
0.4,"indep",3,7,0,NA,0.540235134733803,0.0797733869087178,430,-0.611951699121605,-0.218686669821592,NA,NA,1691.13692988461,0.429938741366281,312937.198278099,438.950091035055,NA,NA,NA,NA,4897054,4300000
0.5,"indep",3,7,0,NA,0.582118222498671,0.0794616512016175,413,-0.56294618898556,-0.205697816644949,NA,NA,4027.4292634531,0.421940748110849,691757.617197733,430.999220039188,NA,NA,NA,NA,4697985,4130000
0.6,"indep",3,7,0,NA,0.454259226097378,0.0858413581436258,475,-0.481326978976054,-0.183571390440867,NA,NA,628.071882621031,0.419120357271656,138162.87866884,388.249913952204,NA,NA,NA,NA,5410432,4750000
0.7,"indep",3,7,0,-2.48777198714249,0.528841627988842,0.102315072361367,547,-0.504440326856012,-0.178563911389246,1.98333166028648,2.30920807575325,739.116351228296,0.41586506389336,139661.378853461,306.455328912407,2.11222141334096,2.33121641248107,0.502742230347349,0,6252126,5470000
0.8,"indep",3,7,0,-1.25109907344903,0.455829603838434,0.110264424012638,572,-0.385166992406233,-0.128069770239501,0.865932081042797,1.12302930320953,62.2875795368098,0.401815962156872,13564.6630697745,264.411246650887,1.09766619147887,1.1710108752304,0.688811188811189,0.681818181818182,6571147,5720000
0.9,"indep",3,7,0,-0.895165958618435,0.465232165143168,0.120205339632078,640,-0.349314846741572,-0.103498161365747,0.545851111876862,0.791667797252688,69.6150509564813,0.396804804295225,14863.5077220119,230.105805207785,0.873188797581794,0.86415011427172,0.7578125,0.8046875,7354483,6400000
1,"indep",3,7,0,-0.669887172742499,0.471678982529739,0.1350496145522,688,-0.27915703810544,-0.0707102528237792,0.390730134637059,0.59917691991872,200.024827678414,0.385498098577076,42306.9833694154,185.449240159121,0.78972364832691,0.702756218664108,0.811046511627907,0.853197674418605,7879265,6880000
1.5,"indep",3,7,0,-0.0600088367288999,0.411114651852598,0.162413417245415,881,-0.0154172838442791,0.0859663463930782,0.0445915528846208,0.145975183121978,3099.35807745462,0.33941122576132,753791.417756103,108.97979459939,0.642367817515364,0.428413141863678,0.89216799091941,0.919409761634506,10186091,8810000
2,"indep",3,7,0,0.283197737460401,0.305432035498917,0.184524458240866,968,0.295078881942866,0.314471569289624,0.0118811444824653,0.0312738318292236,92.6624490265602,0.276701674231425,30238.1565313534,49.9539285302965,0.552501283374834,0.430478671199651,0.908057851239669,0.927685950413223,11371756,9680000
3,"indep",3,7,0,0.724858093778693,0.166164674537014,0.169468586652075,999,0.742576324736665,0.718975279307905,0.0177182309579721,-0.00588281447078809,0.205999059435337,0.177432804121456,23.9728359889453,4.69952433469671,0.407814025310252,0.411501586793169,0.928928928928929,0.93993993993994,11942059,9990000
4,"indep",3,7,0,1.02461388154167,0.106649092982121,0.115495931647312,1000,1.08962130120878,1.07496162585329,0.0650074196671084,0.0503477443116167,0.1035435360684,0.118252557351367,-2.91193935821009,2.38677299255237,0.332818882428437,0.343388018243113,0.92,0.928,12077866,1e+07
5,"indep",3,7,0,1.25324864119018,0.0927904438929724,0.0981915743096937,1000,1.32337799729121,1.31739229199001,0.0701293561010292,0.0641436507998254,0.0857563002979729,0.0978897173832547,-7.58067673769608,-0.307416322185627,0.312435241348066,0.319699531862832,0.92,0.926,12093698,1e+07
0.2,"indep",6,14,0,NA,0.512972953546089,0.0621247840057721,360,-1.02111104559333,-0.598843278414316,NA,NA,1970.26602715857,0.401228936778125,383987.701610481,545.84359237506,NA,NA,NA,NA,4241798,3600000
0.3,"indep",6,14,0,NA,0.525506505770915,0.0692121257584336,413,-0.997009797069161,-0.582651113572452,NA,NA,718.137138170752,0.394452317549128,136556.18413558,469.917934504509,NA,NA,NA,NA,4873152,4130000
0.4,"indep",6,14,0,NA,0.492623561905779,0.065508797730543,485,-0.94317593012936,-0.572589772405326,NA,NA,4187.08770235037,0.395859384831976,849856.848623333,504.284307674616,NA,NA,NA,NA,5721174,4850000
0.5,"indep",6,14,0,-2.56198198970163,0.434946521939052,0.0731254240712716,537,-0.891913434257528,-0.557164205595887,1.6700685554441,2.00481778410574,380.660321246655,0.388119442004999,87418.8792290184,430.758552082677,1.79534552260644,2.02293934599233,0.579143389199255,0,6386879,5370000
0.6,"indep",6,14,0,-1.39883117989595,0.464098838721597,0.0805958907064732,627,-0.805939616471082,-0.510433476357787,0.592891563424867,0.888397703538161,166.498809790881,0.376004580271656,35775.7221305524,366.530708917963,0.90270651663015,0.932586633116683,0.771929824561403,0.787878787878788,7565317,6270000
0.7,"indep",6,14,0,-1.03592568620658,0.434680842633411,0.0960622787792292,696,-0.68178849021875,-0.452434258146308,0.354137195987831,0.583491428060273,1075.70785336605,0.356886048319794,247370.729754072,271.515284516612,0.747976907915591,0.660595568319648,0.824712643678161,0.864942528735632,8513250,6960000
0.8,"indep",6,14,0,-0.802343654837751,0.386711379889326,0.108034587313945,749,-0.584996278607649,-0.401623128674682,0.217347376230102,0.40072052616307,26.4850821240679,0.343402979651021,6748.79822560375,217.863925053096,0.658357773756397,0.518138291354752,0.853137516688919,0.898531375166889,9261783,7490000
0.9,"indep",6,14,0,-0.625964991095738,0.370088110834611,0.101597204380508,792,-0.523482656827556,-0.372654675854187,0.102482334268182,0.253310315241551,6874.14530598591,0.335253351420787,1857334.78505255,229.98285087174,0.616541528774373,0.406982850854702,0.897727272727273,0.934343434343434,9863991,7920000
1,"indep",6,14,0,-0.482540448021794,0.338927167730306,0.119575495221146,868,-0.454439155795467,-0.329401645710687,0.0281012922263265,0.153138802311107,71.2646028787309,0.319741935907764,20926.5241809822,167.397542712598,0.582517279801938,0.378006915554868,0.900921658986175,0.932027649769585,10936281,8680000
1.5,"indep",6,14,0,0.00296736775990736,0.216775561047233,0.139837832880242,983,-0.0381220760432676,-0.0251497139024385,-0.041089443803175,-0.0281170816623458,1.27012692504101,0.231481548344025,485.917950762108,65.5357091683968,0.46716525872771,0.374814816907458,0.930824008138352,0.947100712105799,13134911,9830000
2,"indep",6,14,0,0.315889117091827,0.128717645163724,0.119455321926146,999,0.29432624096894,0.28035668891063,-0.021562876122886,-0.035532428181197,0.302523499151336,0.151957679844311,135.028770738105,27.2087985650897,0.359240527082844,0.347272660141531,0.937937937937938,0.945945945945946,13843716,9990000
3,"indep",6,14,0,0.738633069662809,0.0622071603679981,0.0671420661573236,1000,0.750192685644744,0.750254880524425,0.0115596159819357,0.0116218108616164,0.0616864135373664,0.0742492933014324,-0.837117186431835,10.5853566189869,0.249556762940378,0.259248896967508,0.937,0.951,14063859,1e+07
4,"indep",6,14,0,1.03222437854685,0.0468877443640044,0.0487941137038345,1000,1.04970485606876,1.05939901915161,0.0174804775219144,0.0271746406047633,0.0451122448843748,0.0539933239052773,-3.78670269536941,10.6554045289159,0.217132272391818,0.222449501420275,0.935,0.949,14068334,1e+07
5,"indep",6,14,0,1.25807959664605,0.0399308092733159,0.0407863208586685,1000,1.28594145694896,1.29927379823759,0.0278618603029086,0.0411942015915423,0.0382180375124053,0.0462283450970364,-4.28934898160263,13.3427681727543,0.201661006948744,0.206015768286252,0.939,0.952,14070774,1e+07
0.2,"indep",12,28,0,NA,0.535133538083233,0.0604604733907271,402,-1.39739078233576,-0.96339124656531,NA,NA,1614.1382596672,0.380579605807022,301532.797198395,529.468451805724,NA,NA,NA,NA,4844951,4020000
0.3,"indep",12,28,0,NA,0.486506795678683,0.0635049760305611,496,-1.31267303036592,-0.935269899796592,NA,NA,4356.833643244,0.374990731137304,895433.9744363,490.490312061285,NA,NA,NA,NA,6012873,4960000
0.4,"indep",12,28,0,-1.94424625400898,0.536981066005204,0.0782911649986086,594,-1.19896332364834,-0.881506358271158,0.745282930360633,1.06273989573782,14832.0063108024,0.354736487553534,2762009.73715387,353.099002371262,1.04476011780863,1.09889737814018,0.703703703703704,0.666666666666667,7378701,5940000
0.5,"indep",12,28,0,-1.36303435330244,0.417011108435177,0.0849437960574962,712,-1.07820703604515,-0.837633898357271,0.284827317257293,0.525400454945173,460.411604250395,0.345511319103493,110307.515516332,306.752859113602,0.705373673546246,0.600724671567383,0.848314606741573,0.89747191011236,8913007,7120000
0.6,"indep",12,28,0,-1.058151567492,0.369953035696662,0.100131499869164,778,-0.924886594865012,-0.758535455425519,0.133264972626985,0.299616112066478,77.1318285645754,0.320990426979449,20749.0865386001,220.568879322558,0.622283754074612,0.435628982910525,0.863753213367609,0.92159383033419,10003851,7780000
0.7,"indep",12,28,0,-0.842414379200356,0.292621127828948,0.103751359661832,840,-0.785517472195375,-0.68573562691733,0.0568969070049807,0.156678752283026,6.05995080228408,0.298571334142367,1970.92045856184,187.775827820988,0.543608340048394,0.358016867696748,0.898809523809524,0.929761904761905,11044316,8400000
0.8,"indep",12,28,0,-0.672621910644767,0.293927461521546,0.117103791881238,924,-0.706866038330453,-0.627519975250673,-0.0342441276856862,0.0451019353940939,21.93074759901,0.283338931488224,7361.27887659195,141.955385847433,0.542938319230798,0.344980058484591,0.911255411255411,0.941558441558442,12309143,9240000
0.9,"indep",12,28,0,-0.531415775693636,0.254201560586585,0.125934148255221,946,-0.575862308836476,-0.5359972986667,-0.0444465331428405,-0.00458152297306413,3.53742233267703,0.25396445159396,1291.58167420932,101.664485060295,0.505873840879251,0.354713991589973,0.92600422832981,0.948202959830867,12928464,9460000
1,"indep",12,28,0,-0.409949443099545,0.248991252969671,0.132599378191636,975,-0.469509618254072,-0.44601170988706,-0.0595601751545277,-0.0360622667875156,41.5753750818848,0.226798107953656,16597.524345142,71.0400991668916,0.502278102041128,0.365737427555948,0.921025641025641,0.941538461538462,13572962,9750000
1.5,"indep",12,28,0,0.0317109132187481,0.0801507490667085,0.085837804037724,999,0.0344246618280188,0.0124761701322123,0.00271374860927076,-0.0192347430865358,0.0936136207732741,0.108151622600131,16.7969380989324,25.9953278308478,0.282980357124264,0.293465254589983,0.92992992992993,0.93993993993994,14724503,9990000
2,"indep",12,28,0,0.331466700981724,0.0497076364325565,0.0545031238945397,1000,0.329736981406281,0.323036089636572,-0.00172971957544338,-0.00843061134515227,0.0499382904680573,0.0582338234296869,0.464021329627728,6.84492790241857,0.222847303609296,0.233494530938732,0.936,0.948,14849266,1e+07
3,"indep",12,28,0,0.745380810400251,0.0278741366806437,0.0287953711701943,1000,0.746818002213831,0.752344419823854,0.0014371918135796,0.00696360942360341,0.0280234042459502,0.0312339598856214,0.535505608718045,8.46868304288857,0.16687818330828,0.169750015184767,0.951,0.96,14855441,1e+07
4,"indep",12,28,0,1.03598662353616,0.0229483939388139,0.023316878081296,1000,1.04636251616821,1.05543936506372,0.0103758926320585,0.0194527415275665,0.021156566440625,0.0238902841109551,-7.80807364108496,2.45918869438633,0.151766612575978,0.153856980199642,0.942,0.955,14856007,1e+07
