"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","boot_keep","boot_tried","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe","delta_fail_prop","safe_fail_prop","boot_accept_prop"
4,"indep",10,10,1.03343137973649,1.05508640911101,1.04110054706563,0.0216550293745228,0.00766916732914069,0.0420291593429902,0.050089672576633,-0.219402209920305,18.9169031913882,0.209399532212409,0.205377627606286,0.94109,0.96471,1e+10,1.05e+10,0.000658632352607585,0.000649011363609407,1.97110986914757e-05,2.74002060400664e-05,0.000744577812589121,0.000583477642245185,0,0,0.952380952380952
5,"indep",10,10,1.2588482363055,1.28307587192379,1.26629512671591,0.0242276356182938,0.00744689041041346,0.0366281014422599,0.0443073732887649,-1.43993104608116,19.2236996883849,0.195934698885184,0.192920477968625,0.94172,0.96512,1e+10,1.05e+10,0.000614847996968636,0.000609616488254056,1.10450753475925e-05,2.00649004872446e-05,0.000740833595350535,0.000580201564975484,0,0,0.952380952380952
0.2,"indep",20,20,NA,-1.44261396205043,-1.6277412802941,NA,NA,5.41162509347458,0.429191307583713,303.552341386772,-67.9946126927554,NA,NA,NA,NA,1e+10,21547060000,NA,NA,0.035151714669279,0.000181372768182872,NA,NA,0.5889,0,0.464100438760555
0.3,"indep",20,20,NA,-1.32960683655779,-1.56930484203045,NA,NA,4.5138571634269,0.414386548745115,254.705748642743,-67.4368758960623,NA,NA,NA,NA,1e+10,20013855000,NA,NA,0.0296081799199259,0.000222353595627488,NA,NA,0.49093,0,0.49965386478517
0.4,"indep",20,20,-1.75327894865999,-1.204654126697,-1.46690755744175,0.54862482196299,0.286371391218236,3.5971906367945,0.394175378561265,215.231542020507,-65.457345757713,0.850392639162875,0.889212459661263,0.779857138239762,0.690132195610718,1e+10,18251285000,0.00261206153264127,0.00266213694554146,0.0243780526019865,0.000263865015907186,0.0016656804776931,0.00185902931213864,0.38122,0,0.547906626848466
0.5,"indep",20,20,-1.29513358272291,-1.08683927173293,-1.33630327907714,0.20829431098998,-0.0411696963542221,2.85905080208836,0.37013919663492,185.234581143289,-63.0728846651632,0.660805412194502,0.857166483225558,0.861529532074846,0.781335507586855,1e+10,16514655000,0.00233129453056309,0.00270748364082784,0.0202536703076033,0.000299543499734458,0.00128398036835704,0.00153657100167877,0.27638,0,0.6055227917265
0.6,"indep",20,20,-1.02011041426328,-0.959981014342777,-1.16847363559041,0.0601293999204998,-0.148363221327134,2.17742442077867,0.340590508687613,154.110310259954,-60.2523242559876,0.603246544153018,0.862014975369428,0.895197412583145,0.817513882956002,1e+10,14862135000,0.00209698119863016,0.00268526606311632,0.0166223362685368,0.000329771725973391,0.00107006628931152,0.00134935975917841,0.18065,0,0.672850838725392
0.7,"indep",20,20,-0.817377860209195,-0.832564273022008,-0.987779312427912,-0.0151864128128132,-0.170401452218716,1.60571679449981,0.309305866196677,125.390280913867,-56.5835418118721,0.570346829673735,0.829795734892634,0.911881321949132,0.841965351776341,1e+10,13562595000,0.00191352787113843,0.00256813337277638,0.0135573539696824,0.000351635607901943,0.00095137222510264,0.00122425134134317,0.11222,0,0.737322024288125
0.8,"indep",20,20,-0.654666659991881,-0.703171932042795,-0.801368026834792,-0.0485052720509137,-0.146701366842911,1.1216490614441,0.276262530921643,100.482764989079,-50.6210293701457,0.53134558106679,0.757012424785181,0.924822467830637,0.868097602648299,1e+10,12520980000,0.0017290992868903,0.00234851450020203,0.010756290335235,0.000358271434752975,0.000861650058048493,0.00110577896946615,0.06355,0,0.798659529845108
0.9,"indep",20,20,-0.51781874475336,-0.570174566145675,-0.618684586480897,-0.0523558213923142,-0.100865841727537,0.736370546444119,0.241508533726801,77.6996384424352,-41.7195876026636,0.485679020328624,0.658253350273821,0.929887849501266,0.890392268334281,1e+10,11752275000,0.00155238397355188,0.00205700701602394,0.00816071331527082,0.000354941617681474,0.000820914007212291,0.00100437760534868,0.03255,0,0.850899081241717
