"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","Var_MC_SAFEpt","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","delta_fail_prop","safe_fail_prop","delta_cap_rate","delta_cap_n","maxVar","boot_keep","boot_tried","boot_accept_prop","SAFE_ok_rate","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe"
0.2,"indep",5,5,NA,-0.726093001795176,-0.877881011176014,NA,NA,5.56924978922463,0.494535013622209,1.4523046873896,283.476679348528,-65.9482601745852,NA,NA,NA,NA,0.6243,0,0.154910833111525,582,20,1e+08,232048137,0.430945067229736,1,NA,NA,0.116893537729959,0.000604609876527004,NA,NA
0.3,"indep",5,5,NA,-0.70985352673488,-0.874944479679949,NA,NA,5.49434453036145,0.492268042055052,1.54408889977655,255.830841809469,-68.1191904089013,NA,NA,NA,NA,0.611000000000001,0,0.158868894601542,618,20,1e+08,229245798,0.436213011852021,1,NA,NA,0.115549068731481,0.000630532726538126,NA,NA
0.4,"indep",5,5,NA,-0.679583409754281,-0.87397592029994,NA,NA,5.3418816156113,0.487522728166059,1.49804133907459,256.591068368729,-67.4559896680005,NA,NA,NA,NA,0.5713,0,0.159085607651038,682,20,1e+08,224077889,0.44627339380192,1,NA,NA,0.110135930640824,0.000677882228432421,NA,NA
0.5,"indep",5,5,NA,-0.598435641815694,-0.834001290258673,NA,NA,4.66623903871212,0.479038474222783,1.38047002775282,238.018134758638,-65.2988862784236,NA,NA,NA,NA,0.5227,0,0.129268803687409,617,20,1e+08,217263824,0.460269906691875,1,NA,NA,0.0983784809062384,0.000759421545854537,NA,NA
0.6,"indep",5,5,NA,-0.550238739533329,-0.808721393592652,NA,NA,4.31271474482298,0.471755715776961,1.39394998845117,209.388054130614,-66.1569123938848,NA,NA,NA,NA,0.4808,0,0.11575500770416,601,20,1e+08,211362013,0.47312191334968,1,NA,NA,0.0909734642408709,0.000822876360782462,NA,NA
0.7,"indep",5,5,-1.55054639460591,-0.51109802666463,-0.787244490560292,1.03944836794128,0.763301904045617,3.95764833928695,0.463826408079072,1.31286455121445,201.451382446572,-64.6706579403021,1.25486404986636,1.16252393119255,0.6671297100191,0.595936794582393,0.424099999999999,0,0.103142906754645,594,20,1e+08,203266829,0.491964185656677,1,0.00926465188660247,0.00876874554753523,0.0827235650341699,0.000873608809315914,0.00620967854744536,0.0064662309720632
0.8,"indep",5,5,-1.06013176810005,-0.448776270488259,-0.738823617237655,0.611355497611786,0.32130815086239,3.65999607321373,0.452465382814663,1.28307126744905,185.252749871828,-64.7357559713548,0.932296507340872,0.954053126197231,0.753040973111396,0.706626120358515,0.3752,0,0.0947503201024327,592,20,1e+08,195539996,0.511404326713804,1,0.00890536152691498,0.00898364706403068,0.0774867247446999,0.00094726096855573,0.00545570960314254,0.00576016673963281
0.9,"indep",5,5,-0.792372649921864,-0.372164328521706,-0.662843708617143,0.420208321400158,0.129528941304721,3.15034378954708,0.439877440944747,1.12990499427799,178.814927405481,-61.0695197231312,0.797624294302637,0.886204839863205,0.800884303610906,0.757700810611643,0.3215,0,0.075460574797347,512,20,1e+08,186853726,0.535177981947226,1,0.00823115953238777,0.00876731508145556,0.0688390691198218,0.00102124021519092,0.0048480011430854,0.00520175544614118
1,"indep",5,5,-0.601986402162968,-0.323683536919027,-0.611111305097609,0.27830286524394,-0.00912490293464108,2.85982486187203,0.42886871346033,1.04685721906923,173.181940170859,-59.0327405067101,0.721192359285267,0.87170219736847,0.832319601880011,0.781310478296931,0.2766,0,0.06690627591927,484,20,1e+08,180484783,0.554063330646551,1,0.00782309885840895,0.00871698022704958,0.0632388517008616,0.00107443650924527,0.0043923501846549,0.004860003248268
1.2,"indep",5,5,-0.326963233703332,-0.197740990487711,-0.457843472421938,0.129222243215621,-0.130880238718605,2.23796094328065,0.39855238819691,0.942923817269358,137.342710226753,-57.7322811347485,0.664329794173144,0.894112087239656,0.866463414634146,0.809756097560976,0.18,0,0.0507317073170731,416,20,1e+08,164676297,0.607251934988555,1,0.00719660724976438,0.00884525311205749,0.052839212191879,0.00117656153352748,0.00375636964294961,0.00433436579353545
1.4,"indep",5,5,-0.12423067964925,-0.0758544622083999,-0.291772769845768,0.0483762174408499,-0.167542090196518,1.67986821359742,0.370088877368836,0.801543508228472,109.579167737279,-53.8279739565496,0.623142375293831,0.868242538629359,0.890872119295075,0.843199276999548,0.1148,0,0.0362629914143695,321,20,1e+08,152435772,0.656013996504705,1,0.00660356481715078,0.00851966747374566,0.0440246871269035,0.00121939749837972,0.00331401783780678,0.00386472361207326
1.6,"indep",5,5,0.0384805205680643,0.0516686004286827,-0.119551511666214,0.0131880798606184,-0.158032032234278,1.23217077009829,0.337833157279231,0.675557410744095,82.3931986389009,-49.9919397069269,0.597624381336533,0.820995159075742,0.899356223175966,0.861909871244635,0.0680000000000001,0,0.0222103004291843,207,20,1e+08,142501236,0.70174829922177,1,0.00618924793239119,0.00805682220480104,0.0350587923092252,0.00126068752616523,0.00311638696329628,0.00357358641424169
1.8,"indep",5,5,0.175328435806585,0.183136242457753,0.062023078790671,0.00780780665116765,-0.113305357015914,0.847245019547265,0.303173538560671,0.524943269196179,61.3974441170779,-42.2464185463496,0.555389021759366,0.732588791391633,0.906540127914174,0.88487724365587,0.0306,0,0.0123787910047452,120,20,1e+08,133261158,0.750406206135474,1,0.00564059949823478,0.00723809797810511,0.0268323820159942,0.00123006328601668,0.00295634149998393,0.00324168338575731
2,"indep",5,5,0.29389333245106,0.298594461419192,0.209534584088068,0.00470112896813241,-0.0843587483629921,0.58117304825506,0.275309843764999,0.396832294903624,46.45306234368,-30.6231253603335,0.514119590318217,0.639092737194605,0.914279910623603,0.907982937233394,0.0154000000000003,0,0.00660166565102585,65,20,1e+08,127828545,0.782297881901104,1,0.00518129279979782,0.00633532370629935,0.0200396181782526,0.00119415992986582,0.00282131111903633,0.00291301761680788
2.5,"indep",5,5,0.53664724034191,0.553812988017577,0.502667199815386,0.017165747675667,-0.0339800405265241,0.2472458010181,0.213264668655851,0.201774569789487,22.5356601062531,5.6945227926152,0.421942378013182,0.452714740257054,0.924248496993988,0.944088176352705,0.00200000000000006,0,0.00170340681362726,17,20,1e+08,117096141,0.853999108305371,1,0.00422036430230712,0.00451460269048429,0.00927677301999293,0.000978120784425373,0.00264865097432671,0.00229981465715988
3,"indep",5,5,0.729307511349758,0.761016304844131,0.71200412819903,0.0317087934943729,-0.0173033831507288,0.144048557483003,0.169497251801458,0.135072472664611,6.64538424544876,25.4861545492882,0.376165759757791,0.369009395627568,0.925262631315658,0.956978489244622,0.000500000000000015,0,0,0,20,1e+08,110975885,0.901096666181126,1,0.00374939433744536,0.00368621913624899,0.00249935182230786,0.000749606827205664,0.00263032864011815,0.00202956290850273
4,"indep",5,5,1.02706186684777,1.0772656039005,1.01725621314547,0.05020373705273,-0.00980565370230191,0.0963344678201918,0.122559977829102,0.0979620474001868,-1.6614389176108,25.1096532603388,0.32702187416845,0.313126814629434,0.9266,0.9638,0,0,0,0,20,1e+08,103111664,0.969822385952379,1,0.00323161467851624,0.00312988893413467,0.000262265225107994,0.000366264392182527,0.00260791947728453,0.00186787472813355
5,"indep",5,5,1.25479963118919,1.31427777350955,1.24737426340919,0.0594781423203643,-0.00742536777999447,0.0823282713178692,0.104750186262183,0.085806288624973,-4.05333613985444,22.0775166258579,0.303895646571234,0.293006559794791,0.9315,0.9672,0,0,0,0,20,1e+08,100521959,0.994807512655021,1,0.00298033214542883,0.00292927104626685,0.000122601236463701,0.000215569563684918,0.00252601959612351,0.00178112773264581
0.2,"indep",10,10,NA,-1.14295672782191,-1.29004729955141,NA,NA,6.02583773252331,0.448393626128213,1.44489626821789,317.042930006004,-68.9670714783385,NA,NA,NA,NA,0.6275,0,0.172885906040269,644,20,1e+08,239893599,0.416851472556381,1,NA,NA,0.121278781740684,0.000546837039653719,NA,NA
0.3,"indep",10,10,NA,-1.06603636952097,-1.26737541167597,NA,NA,5.39813724041961,0.439585906093362,1.40026315267956,285.508768840318,-68.6069075479017,NA,NA,NA,NA,0.5616,0,0.155109489051095,680,20,1e+08,230481115,0.433875027027702,1,NA,NA,0.108892285775943,0.000635393035208138,NA,NA
