"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","Var_MC_SAFEpt","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","delta_fail_prop","safe_fail_prop","delta_cap_rate","delta_cap_n","maxVar","boot_keep","boot_tried","boot_accept_prop","SAFE_ok_rate","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe"
0.2,"indep",5,5,NA,-0.834156224865932,-0.952236873300991,NA,NA,6.54877840449654,0.496544551435846,1.59023494257586,311.812005205272,-68.7753967579441,NA,NA,NA,NA,0.614,0,0.176165803108808,34,20,1e+06,3280000,0.304878048780488,1,NA,NA,0.53648012215876,0.0027084640546546,NA,NA
0.3,"indep",5,5,NA,-0.715695046485193,-0.872449089254239,NA,NA,5.50870505997908,0.495210562099111,1.45810944761735,277.797775673197,-66.0374903332312,NA,NA,NA,NA,0.614,0,0.16580310880829,32,20,1e+06,3315000,0.301659125188537,1,NA,NA,0.520372146399234,0.00275501186394212,NA,NA
0.4,"indep",5,5,NA,-0.646400467962317,-0.829969018955144,NA,NA,5.09562957412704,0.490260376041217,1.21274202690238,320.174238303792,-59.5742239350396,NA,NA,NA,NA,0.61,0,0.133333333333333,26,20,1e+06,3265000,0.306278713629403,1,NA,NA,0.500765065575374,0.00305513021756093,NA,NA
0.5,"indep",5,5,NA,-0.605996369535061,-0.834407826829123,NA,NA,4.52522958632879,0.480152582772599,1.27086751171931,256.074063157595,-62.2185177963187,NA,NA,NA,NA,0.51,0,0.122448979591837,30,20,1e+06,3090000,0.323624595469256,1,NA,NA,0.424509058848997,0.0033505791481501,NA,NA
0.6,"indep",5,5,NA,-0.513851272634027,-0.772638428462943,NA,NA,4.11862509245059,0.472045767162053,1.34066678434507,207.2072151368,-64.7902243365676,NA,NA,NA,NA,0.5,0,0.108,27,20,1e+06,3100000,0.32258064516129,1,NA,NA,0.411850263415225,0.00380504037337831,NA,NA
0.7,"indep",5,5,-1.55054639460591,-0.499021595433252,-0.785344169090337,1.05152479917266,0.765202225515572,4.3508834777119,0.461906249640086,1.47502699332102,194.96975292065,-68.6848951421489,1.29542659049733,1.18461350986812,0.645985401459854,0.572992700729927,0.452,0,0.109489051094891,30,20,1e+06,3110000,0.321543408360129,1,0.0457907987019212,0.0404824294954227,0.407690414425457,0.0043143684440956,0.0288899410777638,0.0298824989452394
0.8,"indep",5,5,-1.06013176810005,-0.43439079347453,-0.724016190367543,0.625740974625515,0.336115577732502,3.32447703167512,0.450727599050944,1.23542354184779,169.096137402627,-63.5163501598161,0.931400140006471,0.948755055137377,0.748427672955975,0.713836477987421,0.364,0,0.0817610062893082,26,20,1e+06,2935000,0.340715502555366,1,0.0387483368312576,0.0397175012547415,0.316517579716424,0.00438993813432829,0.0243328395299477,0.0253450378879314
0.9,"indep",5,5,-0.792372649921864,-0.379250445141153,-0.67995408015411,0.413122204780712,0.112418569767754,3.44779338711288,0.43903321552042,1.29771471689816,165.681920858068,-66.168741881127,0.832620053084525,0.947311565619675,0.791788856304985,0.709677419354839,0.318,0,0.0967741935483871,33,20,1e+06,2830000,0.353356890459364,1,0.0392048240097328,0.0421078219859582,0.330595236112403,0.0048036221542315,0.0219876840584194,0.0245806697419724
1,"indep",5,5,-0.601986402162968,-0.330224419961055,-0.62461092636809,0.271761982201913,-0.0226245242051225,3.0761681195604,0.431735045112126,1.07792989715915,185.377381930639,-59.9477622570863,0.735987040689894,0.871480225828784,0.829545454545455,0.758522727272727,0.296,0,0.0767045454545454,27,20,1e+06,2780000,0.359712230215827,1,0.0365079060669549,0.0389996638111783,0.302261438632896,0.00497135019195134,0.0200425536918292,0.0228113557921936
1.2,"indep",5,5,-0.326963233703332,-0.209625277156095,-0.458883831537601,0.117337956547237,-0.131920597834269,2.01233996711828,0.40198627610182,0.801828010530957,150.969028356311,-49.8662717163458,0.617933298882225,0.826912425975853,0.873479318734793,0.83698296836983,0.178,0,0.0413625304136253,17,20,1e+06,2670000,0.374531835205993,1,0.0299623082661545,0.0365435780732735,0.213907227120303,0.00515833334007591,0.0163978218301166,0.0182202314644904
