"theta","n","true_lnM","bias_PI","rmse_PI","bias_SAFE_raw","rmse_SAFE_raw","bias_SAFE_BC","rmse_SAFE_BC","bias_Qmid_05","rmse_Qmid_05","bias_Qmid_10","rmse_Qmid_10","bias_Qmid_20","rmse_Qmid_20","bias_Qmid_30","rmse_Qmid_30","SAFE_ok_rate","accept_prop","facet_label"
0.25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.404379919787199,"n=5"
0.35,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.426134941168875,"n=5"
0.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.426008772798658,"n=5"
0.7,5,-1.55054639460591,0.980389193668227,1.21799350289867,1.1658079171797,1.21776732571818,0.577095429437989,1.31379820680632,1.03343843019779,1.09905519569859,1.11876622301041,1.17564507403502,1.19079015454968,1.24099794675505,1.2234726187499,1.27084388559773,1,0.453112486307507,"n=5"
1,5,-0.601986402162968,0.20720019670121,0.745980498107612,0.372565343002564,0.550329857660692,-0.109436578285766,1.12741904644061,0.248018841160643,0.503296954913627,0.329173660603138,0.532802569868554,0.396528477964683,0.563915277508288,0.427163926350708,0.579960772280048,1,0.512340357946591,"n=5"
1.5,5,-0.0389807707348558,0.0548395322286619,0.620457432986047,0.126075620534415,0.487450620249978,-0.0934709692813192,0.856428917772766,0.0295254779445184,0.52116848964511,0.0938440669335722,0.498694204985971,0.146500558747797,0.485811640130255,0.169352584493484,0.481331277098811,1,0.575085953784367,"n=5"
2,5,0.29389333245106,-0.0106033494600838,0.51836310025377,0.0506857426540982,0.43791345839387,-0.0867053769053189,0.663516939760911,-0.0183808941739254,0.490332602981641,0.0297573795470004,0.455023307690325,0.0669125470420176,0.430228216011906,0.0827411296916926,0.420143235907165,1,0.617188324525027,"n=5"
3,5,0.729307511349758,0.0462340943135968,0.366395351409174,0.094345710515064,0.385478728119656,-0.00187752188787038,0.354818256799683,0.0841225289243788,0.418346660273731,0.0937363074686237,0.395599512636284,0.0985636377563353,0.378450665624997,0.100295739812837,0.371141154465723,1,0.625,"n=5"
4,5,1.02706186684777,0.0539959214445236,0.36611418780879,0.113699771182983,0.390853703114636,-0.00570792829393563,0.350972986632528,0.127496796007233,0.414620772245466,0.119943480519949,0.398974412047219,0.112228737674873,0.386015183456848,0.108713658131037,0.380332291871073,1,0.625,"n=5"
5,5,1.25479963118919,0.0738850070818613,0.304816654938583,0.141696704098361,0.334218100312282,0.00607331006536138,0.289543365889964,0.166918536349675,0.353640668712898,0.151392473326967,0.340978541206767,0.137540811747878,0.330596173585262,0.130999860450149,0.326238337791388,1,0.625,"n=5"
0.25,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.396256721256974,"n=10"
0.35,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.421944667020256,"n=10"
