"theta","design","n1","n2","true_lnM","delta_mean","safe_mean","delta_bias","safe_bias","mean_var_delta","mean_var_safe","Var_MC_SAFEpt","relbias_delta","relbias_safe","rmse_delta","rmse_safe","cover_delta","cover_safe","delta_fail_prop","safe_fail_prop","delta_cap_rate","delta_cap_n","maxVar","boot_keep","boot_tried","boot_accept_prop","SAFE_ok_rate","mcse_bias_delta","mcse_bias_safe","mcse_varbar_delta","mcse_varbar_safe","mcse_cover_delta","mcse_cover_safe"
"0.2","indep","5","5",NA,"-0.741258419762771","-0.885907486288193",NA,NA,"5.7120461122793","0.495148104381962","1.51717482345902","276.49228183581","-67.363806943944",NA,NA,NA,NA,"0.62845","0","0.163262010496568","6066","20","1e+10","21038432794","0.475320576295584","1",NA,NA,"0.0377344436793033","0.000187464974469983",NA,NA
"0.3","indep","5","5",NA,"-0.70851776217008","-0.878172992472203",NA,NA,"5.47995660809044","0.491741625434003","1.47538734129752","271.424944128307","-66.670337228084",NA,NA,NA,NA,"0.60349","0","0.155607676981665","6170","20","1e+10","20690027338","0.483324639288111","1",NA,NA,"0.0360470176959805","0.000198696663820598",NA,NA
"0.4","indep","5","5",NA,"-0.661088132683284","-0.861369547172364",NA,NA,"5.12984460157601","0.48679207620317","1.44849259906561","254.150556577587","-66.3931954835538",NA,NA,NA,NA,"0.57118","0","0.144046453057227","6177","20","1e+10","20214428928","0.494696141831071","1",NA,NA,"0.0339452212632567","0.000216838035294445",NA,NA
"0.5","indep","5","5",NA,"-0.607029294289699","-0.841036617861237",NA,NA,"4.72951534859046","0.479509380517449","1.4056313000612","236.469125892724","-65.8865464580525",NA,NA,NA,NA,"0.5218","0","0.130322040987035","6232","20","1e+10","19525588621","0.512148452684539","1",NA,NA,"0.0311644007457862","0.0002387690018549",NA,NA
"0.6","indep","5","5",NA,"-0.550885529033501","-0.81022266870609",NA,NA,"4.31512168588862","0.471491987897424","1.34711217704911","220.323857166893","-64.9997976463816",NA,NA,NA,NA,"0.47406","0","0.114670875004753","6031","20","1e+10","18838976848","0.530814389798543","1",NA,NA,"0.0285609785162726","0.000258949160914184",NA,NA
"0.7","indep","5","5","-1.55054639460591","-0.499412444806358","-0.776519945245273","1.05113394979955","0.774026449360636","3.95935851034964","0.462927591695178","1.30203183980693","204.090759480716","-64.4457548930738","1.26482936416361","1.16511925548811","0.655720560552186","0.580039043435822","0.42628","0","0.102733040507565","5894","20","1e+10","18149961239","0.550965363965205","1","0.00293708982882507","0.00275389454978677","0.026392715338142","0.000279001968289639","0.00198364955623958","0.00206054961942659"
"0.8","indep","5","5","-1.06013176810005","-0.440506887127954","-0.729620315809438","0.619624880972091","0.330511452290607","3.56440667940575","0.451916753609439","1.23866778043164","187.761313866068","-63.5159030735458","0.931871203201317","0.945047290204579","0.757031336947708","0.708857338187831","0.37103","0","0.0905607580647726","5696","20","1e+10","17343343378","0.576590094657584","1","0.0027753163521811","0.00279979356287525","0.0240389906758235","0.000301047243789041","0.00171008262695458","0.00181141257465172"
"0.9","indep","5","5","-0.792372649921864","-0.381404250252038","-0.673788801985756","0.410968399669826","0.118583847936108","3.20352322936186","0.4403928029461","1.16953029651488","173.915369179247","-62.3444724554429","0.79963438073709","0.900459771019348","0.804250246508411","0.757156102370896","0.32051","0","0.0788385406702085","5357","20","1e+10","16592219846","0.6026921106889","1","0.00263148415456694","0.00282271790650299","0.0219888179292013","0.000320143664577908","0.00152214027896695","0.0016449957338251"
"1","indep","5","5","-0.601986402162968","-0.321646740780401","-0.610680271854945","0.280339661382567","-0.00869386969197705","2.87170486614907","0.427063975804286","1.11724959535793","157.033421903283","-61.7754190667244","0.735888073626253","0.905382518467774","0.833795922831868","0.780459125774211","0.26861","0","0.0698669656407662","5110","20","1e+10","15812619821","0.632406275063887","1","0.00251588769110528","0.00286295322678874","0.0201570024819935","0.000339372793399354","0.0013764999855381","0.0015305878697702"
"1.2","indep","5","5","-0.326963233703332","-0.199054180816243","-0.459597733928873","0.127909052887089","-0.132634500225541","2.24456534412037","0.39904362789518","0.95944741081991","133.943551132443","-58.4090150856553","0.666338212185981","0.901892547600728","0.871438676944092","0.81403063713533","0.18008","0","0.0510293687188994","4184","20","1e+10","14404599431","0.694222706289152","1","0.00228380520373189","0.00282103919687374","0.016812450813948","0.000368173032248912","0.0011689282167002","0.00135879936971899"
"1.4","indep","5","5","-0.12423067964925","-0.0710685868671956","-0.286157492950827","0.0531620927820543","-0.161926813301577","1.66590238268737","0.368135034641933","0.793883268926033","109.842233473569","-53.628568701297","0.623721552394341","0.864750475522938","0.889503260171849","0.841833804434735","0.11201","0","0.0343247108638611","3048","20","1e+10","13219823297","0.756439762872573","1","0.00208547925136622","0.00268622468876716","0.0136586132778464","0.000388052565499113","0.00105206958825694","0.00122452026640349"
"1.6","indep","5","5","0.0384805205680643","0.0506001435410633","-0.117368341881357","0.012119622972999","-0.155848862449421","1.22643467600137","0.337652291864712","0.657715117127757","86.4689808799309","-48.6628354629828","0.589848368386921","0.811293473896872","0.903844714186407","0.866991069996257","0.06495","0","0.0230575905031816","2156","20","1e+10","12316498876","0.811919044582228","1","0.00192856194526299","0.00251776601773595","0.0111248149027704","0.000393618058233695","0.000964086664332917","0.00111052999901025"
"1.8","indep","5","5","0.175328435806585","0.176660150385918","0.0533607786298586","0.0013317145793334","-0.121967657176726","0.857230419069891","0.306043850232134","0.515087645109407","66.4241857107271","-40.5841213358692","0.551706918549622","0.727274318011834","0.909198149815292","0.889226916669254","0.03361","0","0.0139591676238372","1349","20","1e+10","11617189822","0.860793371996259","1","0.00177473370901282","0.00226728243677766","0.00870043017381278","0.000390113893961735","0.000924273298694471","0.00100959504076632"
"2","indep","5","5","0.29389333245106","0.296036994202177","0.206696846261997","0.00214366175111785","-0.0871964861890628","0.580830953489722","0.276209119762241","0.390972869224548","48.560424318377","-29.3533793508304","0.509942561608192","0.635399256772716","0.916042253377932","0.909952317530678","0.01641","0","0.00740145792454173","728","20","1e+10","11132877454","0.898240373283462","1","0.00162597019059857","0.00199030889470227","0.00647133802485668","0.000374931019890273","0.00088426225573925","0.000912722034871295"
"2.5","indep","5","5","0.53664724034191","0.555816159480455","0.504183791187435","0.0191689191385452","-0.0324634491544753","0.247223467653615","0.213249983402755","0.206000505176497","20.0110977600754","3.51915555743265","0.426809096403737","0.457314318124336","0.921990861357169","0.943384504388953","0.00204","0","0.00131267786284019","131","20","1e+10","10503794292","0.952036923230332","1","0.0013497111169891","0.00144251374647325","0.00282718035960453","0.00031231562448682","0.000848944858250489","0.000731569277401123"
"3","indep","5","5","0.729307511349758","0.765883660792893","0.717366856632788","0.0365761494431343","-0.0119406547169699","0.141655674804173","0.168214971268908","0.132144604990253","7.19747114505531","27.2961323553966","0.372649696833906","0.364126273885563","0.924345625668877","0.956411718226463","0.00019","0","0.000100019003610686","10","20","1e+10","10266058060","0.974083717582248","1","0.00117284906676428","0.00115085484995111","0.000869101471116712","0.000232926914380968","0.000836325769965065","0.000645726457225205"
"4","indep","5","5","1.02706186684777","1.07882875759812","1.01880314576822","0.0517668907503483","-0.00825872107955106","0.0961020082719952","0.122194485422832","0.096689205039669","-0.607303335913134","26.3786224870699","0.325361792803565","0.311056979702254","0.92826","0.96396","0","0","0","0","20","1e+10","10098879789","0.990208835923792","1","0.00101578303319932","0.000983306691931205","8.00623179001523e-05","0.000114073776053553","0.000816047623610289","0.000589415968565494"
"5","indep","5","5","1.25479963118919","1.31170754629007","1.24489177024691","0.0569079151008802","-0.00990786094227269","0.0825102542145244","0.104974084506848","0.0873612395886662","-5.55278908241493","20.1609375062795","0.306371342846561","0.295733886601995","0.92809","0.96736","0","0","0","0","20","1e+10","10027324054","0.997275040294614","1","0.000951975814684532","0.000934672346807512","4.00275674614025e-05","6.8626810133982e-05","0.000816939115846463","0.000561913075128173"
"0.2","indep","10","10",NA,"-1.12995061984381","-1.28334733760283",NA,NA,"5.79675214750998","0.448023139910143","1.41250937051646","310.386810063462","-68.2817580356065",NA,NA,NA,NA,"0.62222","0","0.165572555455556","6255","20","1e+10","21759219578","0.45957530618932","1",NA,NA,"0.0375852995516184","0.000169644962269719",NA,NA
